,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
0,22486.21105772699,17739.84657661312,78965.83909722595,50611.60174486075,69795.54385260899,44950.38278555896,15488.19634577877,18069.17704664053,28537.65134647626,149589.5216857974,119453.4305017069,58322.55398870647,40220.9897403783,28783.05836398544,131477.2081733932,52131.00822894982,44148.32725254313,36805.85580030264,128209.5843031726,35736.58433401926,6629.320178457979,22895.48632952867,62617.39155817649,27492.31420911424,32020.98607298966,2306.212772676347,39904.82049000176,26274.6783892746,15826.61769972915,21960.72515357877,59176.6583368456
1,21335.85546800666,16977.90301344183,77133.9286121796,49574.45711911184,69123.05107226266,43343.7996442739,15007.92029007086,17175.97428750275,27788.89665804617,148343.0374568523,112095.4300263827,57735.38557628041,37129.11458907666,26927.88171862197,127922.5139908241,51554.17188934469,40187.86168464006,32035.57098379085,119665.6691248615,33142.91923820435,5805.109053678768,21177.93876232467,59410.85887801074,25712.90446180508,30212.60905540402,2131.871862113098,38485.84800828505,24900.81988390789,15628.44388829648,22417.72860694507,58513.54177154497
2,20878.91947092796,16756.85856232257,73582.18340907441,48031.11414409245,68991.61054135015,42988.24216693088,14417.28844623169,16842.78289546975,26028.87039168879,141452.8330684183,106598.6979965485,56587.22960155289,35796.35819812407,26654.12114918868,125538.5004236206,52095.83588632308,38284.25724958862,31355.68980757535,110528.8136566745,29860.01964640787,5173.336473223761,20008.67133187786,57281.9038699198,25147.77639121216,29321.80392364247,2043.887143766174,37219.53741099148,24808.12772338443,15316.96577787902,22257.63307911249,57578.50243435944
3,20714.96980831697,16570.22478299106,71275.73953896177,48060.33355929841,68958.83845498461,43105.83435571175,14553.74652468296,16520.54198622399,24868.6982310005,137113.5792224898,102218.4882712975,55641.09328025985,34121.43030415355,26393.36585018313,123515.5299556161,51183.2001015383,36449.73279635793,29733.2346234172,100967.9494834231,27944.64701123617,4656.896038363349,19175.45762288772,55107.83275357184,24294.87583981374,28601.96640252779,1958.395179590957,37232.46743595789,24723.92766574581,15377.57966742127,22417.68739156709,57310.09164732846
4,20249.28575053031,16352.90125650954,70100.0015932497,47773.272768086,69674.67923237315,43099.69179752018,14680.98078752095,16825.51377279759,24847.02240166356,135318.2240439108,98555.08982236711,55636.70020313892,33663.36854581907,27718.11314942128,120687.3467247411,50892.0451556376,36263.63358577522,29153.88095595053,96217.60608664557,26990.64831445841,4290.065681691122,18584.34362176811,54041.00523870792,24303.15004634919,28097.49400409387,1876.246159568968,36601.58466917289,24401.22083362331,15340.16195605475,22570.09268124549,57307.09259540684
5,20691.97235521308,16459.29859630265,70017.22516816173,47773.4091685051,70598.30100594129,43724.42861295566,15087.55443596599,18046.71681940233,26367.22959128731,135162.4298390777,96084.30728938826,55638.18071334955,33515.0612356293,30552.88362965835,123980.9658542042,50576.52207487044,37173.50264664881,27314.31478584506,90364.95880778992,26193.81709121342,4085.156531054059,17975.79580517775,54013.29722860498,25148.89791791139,29148.47726622416,1861.80710802223,37249.43194197742,25223.107963013,15871.40086150825,22798.77569340578,57119.91030296774
6,21634.94839997248,16782.69819272497,72722.092957468,47873.64030541867,71997.08623564782,45217.98687068118,16765.0129577586,21842.3936153041,28788.70967983047,137560.7203434861,98552.79470475348,58279.11023077747,35037.46730366592,33035.32627539393,130348.5913799872,52741.86912161834,37096.36905660239,29125.31772194925,86742.34621806855,28081.65271771566,4345.275994057849,19650.87608317419,57707.89608824765,30477.98311945009,31988.18546034146,1876.937371294996,39852.21658335875,26529.84638786243,16210.14644320949,22874.84414048827,57274.47059284923
7,22759.42423658085,17769.74607585039,86597.74015933943,48986.09411455791,73126.37100097595,44573.14294039487,17642.95408770207,22963.63792633057,29797.5150212023,131031.8592616514,91420.08443802381,63148.70790699332,38942.52911840002,34764.46172480322,133594.2772296203,54948.56175273298,42130.80596645721,40667.6608217687,82510.38640147082,32102.06676397624,4726.970357718901,21661.14971717093,58338.31699589618,35144.1235573307,36578.61365626745,2061.956307739609,44081.82202539084,27536.93304627624,16504.40712156884,22448.29523371921,57204.71538299027
8,24108.0559615431,18209.36873391352,84200.02404823416,50612.59433215645,72859.44679853524,43174.55674817254,18006.30600848231,22248.36313439366,31573.37185991249,106306.9402428318,86266.6003172486,59533.36349365237,43114.98915457903,37553.26558137119,133834.1472788318,66210.49691795291,45509.41502267728,39116.74905736978,78482.74759186989,33920.08828813009,5100.070829970738,23376.31354072064,63320.23892934964,40566.256013447,41169.88826982143,2305.572871781621,45281.9225826829,27310.73811313115,15622.94112870019,21816.8145109434,57657.5809477904
9,25116.51307788755,18917.96029076115,84889.181963971,53449.91208480268,73497.38399789958,44255.91439926576,18045.25963348349,22321.5683126011,34828.39755632234,105053.0123678887,90003.97773448555,55604.72424045568,46324.3419904584,39963.11580722594,133834.147261752,68900.84866616262,47244.11033646198,39754.22442629305,82698.96151829885,37183.73637645432,6058.342018470006,25212.53867717638,70008.8914463943,42234.98911285763,43914.17436460433,2565.73549400101,46097.86312237206,27884.12171138625,14913.59987668979,21148.99268164181,57768.97753775604
