Type,id,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--max_storage_level,storage--can_retire,storage--charge_discharge_ratio,storage--capital_recovery_period,storage--can_expand,storage--max_capacity,storage--fixed_om_cost,storage--min_duration,storage--existing_capacity,storage--capacity_size,storage--lifetime,storage--long_duration,storage--investment_cost,storage--min_storage_level,storage--max_duration,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--min_capacity,storage--loss_fraction,storage--wacc,edges--discharge_edge--can_retire,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--discharge_edge--max_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--existing_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--lifetime,edges--discharge_edge--end_vertex,edges--discharge_edge--variable_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--min_capacity,edges--discharge_edge--wacc,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--has_capacity,edges--charge_edge--max_capacity,edges--charge_edge--efficiency,edges--charge_edge--fixed_om_cost,edges--charge_edge--existing_capacity,edges--charge_edge--capacity_size,edges--charge_edge--variable_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--start_vertex,edges--charge_edge--min_capacity
Battery,Region11Zhejiang_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,75.96,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,37.98,1,15,elec_Region11Zhejiang,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,37.98,1,0,0,elec_Region11Zhejiang,0
Battery,Region12Anhui_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,196.7,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,98.35,1,15,elec_Region12Anhui,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,98.35,1,0,0,elec_Region12Anhui,0
Battery,Region13Fujian_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,168.76,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,84.38,1,15,elec_Region13Fujian,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,84.38,1,0,0,elec_Region13Fujian,0
Battery,Region14Jiangxi_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region14Jiangxi,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region14Jiangxi,0
Battery,Region15Shandong_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region15Shandong,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region15Shandong,0
Battery,Region16Henan_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region16Henan,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region16Henan,0
Battery,Region17Hubei_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region17Hubei,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region17Hubei,0
Battery,Region18Hunan_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,167.04,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,83.52,1,15,elec_Region18Hunan,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,83.52,1,0,0,elec_Region18Hunan,0
Battery,Region19Guangdong_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,568.86,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,284.43,1,15,elec_Region19Guangdong,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,284.43,1,0,0,elec_Region19Guangdong,0
Battery,Region20Guangxi_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region20Guangxi,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region20Guangxi,0
Battery,Region21Hainan_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region21Hainan,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region21Hainan,0
Battery,Region22Chongqing_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region22Chongqing,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region22Chongqing,0
Battery,Region23Sichuan_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,1.4,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.7,1,15,elec_Region23Sichuan,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.7,1,0,0,elec_Region23Sichuan,0
