Type,id,fuel_commodity,edges--elec_edge--type,edges--fuel_edge--type,edges--co2_emissions_edge--type,edges--co2_captured_edge--type,edges--co2_captured_edge--end_vertex,edges--cement_edge--end_vertex,edges--cement_edge--can_retire,edges--cement_edge--fixed_om_cost,edges--cement_edge--variable_om_cost,edges--cement_edge--type,edges--cement_edge--investment_cost,edges--cement_edge--capacity_size,edges--cement_edge--can_expand,edges--cement_edge--can_retrofit,edges--cement_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--fuel_emission_rate,transforms--id,transforms--timedata,transforms--emission_capture_rate,transforms--fuel_consumption_rate,transforms--process_emission_rate,transforms--elec_consumption_rate,edges--elec_edge--start_vertex,edges--fuel_edge--start_vertex,edges--co2_emissions_edge--end_vertex,edges--cement_edge--existing_capacity
CementPlant,tradcement_Region19Guangdong,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region19Guangdong,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region19Guangdong,coal_Region19Guangdong,co2_sink_19,15023
CementPlant,tradcement_Region20Guangxi,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region20Guangxi,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region20Guangxi,coal_Region20Guangxi,co2_sink_20,17745
CementPlant,tradcement_Region21Hainan,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region21Hainan,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region21Hainan,coal_Region21Hainan,co2_sink_21,2647
CementPlant,tradcement_Region22Chongqing,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region22Chongqing,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region22Chongqing,coal_Region22Chongqing,co2_sink_22,9235
CementPlant,tradcement_Region23Sichuan,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region23Sichuan,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region23Sichuan,coal_Region23Sichuan,co2_sink_23,27350
CementPlant,tradcement_Region24Guizhou,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region24Guizhou,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region24Guizhou,coal_Region24Guizhou,co2_sink_24,14516
CementPlant,tradcement_Region25Yunnan,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region25Yunnan,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region25Yunnan,coal_Region25Yunnan,co2_sink_25,14360
CementPlant,tradcement_Region26Tibet,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region26Tibet,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region26Tibet,coal_Region26Tibet,co2_sink_26,582
CementPlant,tradcement_Region27Shaanxi,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region27Shaanxi,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region27Shaanxi,coal_Region27Shaanxi,co2_sink_27,14087
CementPlant,tradcement_Region28Gansu,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region28Gansu,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region28Gansu,coal_Region28Gansu,co2_sink_28,11628
CementPlant,tradcement_Region29Qinghai,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region29Qinghai,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region29Qinghai,coal_Region29Qinghai,co2_sink_29,4384
CementPlant,tradcement_Region30Ningxia,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region30Ningxia,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region30Ningxia,coal_Region30Ningxia,co2_sink_30,4155
CementPlant,tradcement_Region31Xinjiang,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region31Xinjiang,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region31Xinjiang,coal_Region31Xinjiang,co2_sink_31,15875
