Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line104CandidateAC_Region19Guangdong_to_Region21Hainan,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,6911.833677,elec_Region19Guangdong,true,elec_Region21Hainan
TransmissionLink,Line105CandidateAC_Region13Fujian_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,7040.087498,elec_Region13Fujian,true,elec_Region11Zhejiang
TransmissionLink,Line106CandidateAC_Region12Anhui_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,5737.627761,elec_Region12Anhui,true,elec_Region11Zhejiang
TransmissionLink,Line107CandidateAC_Region12Anhui_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,4038.045853,elec_Region12Anhui,true,elec_Region10Jiangsu
TransmissionLink,Line108CandidateAC_Region5Innermongolia_to_Region3Hebei,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,6320.830307,elec_Region5Innermongolia,true,elec_Region3Hebei
TransmissionLink,Line109CandidateAC_Region3Hebei_to_Region1Beijing,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,5198.188129,elec_Region3Hebei,true,elec_Region1Beijing
TransmissionLink,Line110CandidateAC_Region3Hebei_to_Region2Tianjin,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,5154.036721,elec_Region3Hebei,true,elec_Region2Tianjin
TransmissionLink,Line111CandidateAC_Region2Tianjin_to_Region1Beijing,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,3714.217847,elec_Region2Tianjin,true,elec_Region1Beijing
TransmissionLink,Line112CandidateAC_Region4Shanxi_to_Region3Hebei,100,false,Electricity,0.062,100,true,19200,true,true,true,false,0.025,19200,0,4293.822839,elec_Region4Shanxi,true,elec_Region3Hebei
TransmissionLink,Line113CandidateAC_Region3Hebei_to_Region15Shandong,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,5193.38774,elec_Region3Hebei,true,elec_Region15Shandong
TransmissionLink,Line114CandidateAC_Region7Jilin_to_Region6Liaoning,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,5294.403035,elec_Region7Jilin,true,elec_Region6Liaoning
TransmissionLink,Line115CandidateAC_Region5Innermongolia_to_Region6Liaoning,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,11712.23907,elec_Region5Innermongolia,true,elec_Region6Liaoning
TransmissionLink,Line116CandidateAC_Region8Heilongjiang_to_Region7Jilin,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,4834.332795,elec_Region8Heilongjiang,true,elec_Region7Jilin
