Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
15,22983.96328,16964.3951,68708.4312,43476.69783,67775.53053,40116.14232,15936.15449,20361.72898,34842.27616,101913.2243,76607.29555,44572.62484,40840.59088,30761.32365,117623.2407,62396.66643,46113.73328,33030.67045,105906.8285,36881.99223,6329.185094,24740.60308,70408.88014,33619.94981,35073.58489,2284.193445,42744.44959,24688.00635,14153.87919,19212.80395,52570.15297
16,22715.94868,16931.19291,72063.38562,42982.18809,68100.05627,40216.59782,16393.75206,20822.67459,34032.37717,103442.4479,75860.85261,46689.84111,40801.15069,30363.3222,123109.4412,62168.54218,47792.28477,32217.45478,103727.9656,38222.60783,6387.530579,23808.49093,71379.67368,34120.0085,36609.92861,2236.611655,43905.04802,24291.9874,14083.57727,19633.46569,52769.05476
17,23391.93137,17358.89164,75818.84513,43929.56741,68361.60441,41205.64409,17183.53152,22086.47623,34147.40527,107316.601,80672.91477,50016.96509,42029.90246,33672.24114,124269.5386,59555.68925,48499.78021,34383.57364,105907.422,38566.83519,6443.050948,25054.06981,72366.95289,36716.36946,39626.70093,2284.733264,44978.14807,25962.32471,14059.84673,20396.27795,52030.07453
18,24180.35734,17890.33818,82172.92041,47008.9605,69895.73225,42818.63862,17940.59493,24685.32446,35997.87483,113198.378,85423.28838,52564.90236,45104.40214,39192.17542,129694.3013,61789.70142,51268.20797,40370.36423,106905.2407,41897.20452,6858.32696,26581.9524,74337.51729,39097.34813,41886.24505,2360.8615,46371.30111,26397.87498,14363.94513,21384.52499,51999.21521
19,24762.32058,18556.30625,92549.46918,51870.09749,70863.63582,44018.7081,18653.63402,24081.55118,37518.84297,116749.2748,88811.24071,54383.20717,47359.90768,41833.06277,136356.8794,71651.87705,50551.4859,43702.50283,113534.5099,42911.99481,7029.035886,27438.53518,72487.78326,40937.67141,40666.16442,2436.136835,47369.04441,26700.1968,13787.22942,21247.95319,52341.51981
20,25020.11893,18863.81231,92136.92493,55568.13267,70599.30783,44583.23062,18331.85319,24055.42265,37402.39403,116100.2404,87505.98276,60018.77947,46358.78137,42618.96877,129821.4035,69495.67562,53420.26992,50101.92233,117893.854,43922.12462,7502.69929,28200.03328,69435.45742,39654.41141,40117.67725,2460.41134,49980.30362,26673.70254,14463.4295,21650.62971,53238.54707
21,25020.11893,18581.17029,88979.18997,53418.87222,70677.48284,43823.77933,17955.29545,23191.42225,36481.58681,115452.6469,87360.16932,61723.21081,44697.42203,43107.90711,125973.3137,66820.88162,51739.9777,51183.48376,116803.0687,43920.68102,7493.093738,28306.83819,70395.34314,37788.29473,38370.21384,2664.8553,48765.69739,26253.36507,14062.99403,21112.4043,54666.09765
22,24747.4718,18577.12579,89018.78658,52944.49954,69680.30857,43225.79891,17165.39404,21860.89424,35429.21995,116649.2478,84983.82547,58961.88131,44128.00548,41682.12372,124875.2992,63388.11424,49944.90379,49052.84344,118980.752,43147.27892,7262.736836,27152.15682,71769.23082,35691.53994,36606.26083,2690.074607,46582.78199,25507.23728,13850.11915,20824.11065,54823.55717
23,23777.34091,18185.93333,86728.77255,51672.27002,68839.36169,45220.65979,16216.63604,19786.98738,33360.07778,116671.5828,79997.81434,55936.41744,42572.27067,37208.2951,121803.2747,58368.90764,45167.51226,44474.49068,122287.8875,41544.42971,7029.487821,25726.26015,65806.84378,31539.62136,33595.38811,2622.204702,43198.29574,25780.02268,13696.80532,20887.39136,54367.21161
24,22177.14704,17287.69892,81825.96442,48713.58006,67178.35638,43575.58687,14932.00232,18460.69352,30712.93761,104650.3364,70579.88678,52623.15748,39911.68152,30765.14033,117490.3063,53354.47434,42481.17545,38742.43181,125294.0861,36976.58031,6562.632784,22998.33045,60541.07172,28684.4077,31329.34964,2339.682396,41102.65714,25825.72477,14405.68228,20829.70879,54526.26239
25,19969.39291,16020.97299,72309.18648,45781.57537,64678.33511,41899.77534,14161.77402,16491.18579,25499.07218,104629.2741,81620.7583,47396.03084,39341.50532,27503.82122,119554.3901,57464.71725,42015.61336,32174.13234,99202.10591,35768.92019,6735.532434,23953.59713,59809.05479,24868.44934,27978.12007,1961.315491,36880.4828,22723.05064,13835.67242,20327.83462,53899.12703
26,19148.07739,15497.60369,70111.52644,45546.15896,64543.90987,40694.51618,13682.35784,15786.30223,25512.41161,104281.8073,75879.08021,44317.18245,37066.99829,26481.33102,117005.6714,56023.24561,39939.38282,29954.53042,94395.90557,31041.08372,5896.410337,22104.39731,55856.40242,23146.46588,26711.28345,1866.720524,35546.61834,22404.14671,13572.70345,20230.51652,53023.11289
27,18560.42757,15243.39287,68793.27202,45071.44623,64571.11109,40081.52379,13592.59477,15222.30298,24463.43929,101797.2597,73158.74322,43188.57522,35168.52651,25293.21788,114326.1591,52669.23095,39648.02233,27904.66244,88656.22857,28719.53848,5292.827507,20545.8439,52978.75881,22810.46981,26456.31826,1815.380589,33966.60527,22404.86647,13933.06833,19905.36782,52201.70282
28,18209.21886,15051.20984,67500.85,44531.73754,64351.16627,39860.9397,13256.9724,14941.39617,23769.38999,99134.45988,70759.02068,41310.48488,32518.2365,24871.82311,110516.7442,48813.26807,39384.93234,26916.32909,84840.59395,26374.67559,4164.386276,19485.81336,51073.83056,22116.45101,25953.92147,1729.013386,33499.22486,22462.65383,13981.76629,19975.21857,51614.42854
29,18209.22259,14961.54283,65237.64805,43938.03851,64173.31081,39860.93972,13346.8597,14664.04383,23184.63695,97541.4518,71213.73393,41010.06873,31732.19003,24872.05002,108833.1056,48261.98421,36574.05558,26379.22603,75565.82887,24414.33583,3874.986629,18460.79483,49633.68444,22466.13693,25948.77547,1677.8683,33489.8429,22341.36133,13767.49528,19886.98667,51397.2007
30,18435.58201,14998.77078,66170.23974,43938.08542,64677.82609,40091.64845,14323.65324,16248.2623,23433.83823,99507.51048,75174.61662,44024.07502,31381.02105,28495.82046,111490.9947,47156.11587,35583.47718,25696.39746,73964.27301,24009.05855,3772.659981,17371.80225,49634.891,24246.13401,28121.28974,1675.342013,34663.58215,22655.85939,13962.2871,20333.61496,51438.61031
31,19406.07233,15414.4161,72126.67616,45154.36002,66561.66888,40751.4179,15628.48081,20819.5455,23909.64157,106639.4092,79204.78598,51560.4174,32770.15045,32199.00606,114535.5832,47157.73702,34238.90377,27534.07858,72742.70219,25572.71851,3919.984315,16912.57853,52002.97547,29197.82145,32833.37795,1675.367133,36156.33461,23759.65819,14459.00626,20281.60663,51399.40106
32,20795.41095,16084.55404,76015.13341,48546.87053,67765.10672,40314.00768,16194.95776,21391.44466,25474.31297,118047.9722,92411.69134,49959.41291,33276.37751,35331.02558,113500.0127,48261.02604,36314.31996,32756.66908,76277.65377,28709.60646,3875.615755,16614.59191,53982.00401,32557.59888,35095.04466,1839.117838,38230.6731,24434.9696,15160.25683,20435.36787,51761.5176
