Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--max_capacity,edges--elec_edge--min_capacity,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,Region15Shandong_nuclear,Region15Shandong,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,5018.206518,1002.4,2506,24,200,0.3,elec_Region15Shandong,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region16Henan_nuclear,Region16Henan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region16Henan,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region17Hubei_nuclear,Region17Hubei,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region17Hubei,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region18Hunan_nuclear,Region18Hunan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region18Hunan,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region19Guangdong_nuclear,Region19Guangdong,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,32311.96344,6454.4,16136,24,200,0.3,elec_Region19Guangdong,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region20Guangxi_nuclear,Region20Guangxi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,4349.379312,868.8,2172,24,200,0.3,elec_Region20Guangxi,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region21Hainan_nuclear,Region21Hainan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,2603.219662,520,1300,24,200,0.3,elec_Region21Hainan,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region22Chongqing_nuclear,Region22Chongqing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region22Chongqing,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region23Sichuan_nuclear,Region23Sichuan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region23Sichuan,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region24Guizhou_nuclear,Region24Guizhou,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region24Guizhou,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region25Yunnan_nuclear,Region25Yunnan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region25Yunnan,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region26Tibet_nuclear,Region26Tibet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region26Tibet,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region27Shaanxi_nuclear,Region27Shaanxi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region27Shaanxi,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region28Gansu_nuclear,Region28Gansu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region28Gansu,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region29Qinghai_nuclear,Region29Qinghai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region29Qinghai,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region30Ningxia_nuclear,Region30Ningxia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region30Ningxia,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region31Xinjiang_nuclear,Region31Xinjiang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region31Xinjiang,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
