Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--TDR_path,Note
VRE,Region16Henan_PV_Central,Region16Henan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region16Henan_PV_Central,elec_Region16Henan,6300,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region17Hubei_PV_Central,Region17Hubei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region17Hubei_PV_Central,elec_Region17Hubei,21478,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region18Hunan_PV_Central,Region18Hunan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region18Hunan_PV_Central,elec_Region18Hunan,4861,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region19Guangdong_PV_Central,Region19Guangdong,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region19Guangdong_PV_Central,elec_Region19Guangdong,13733,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region20Guangxi_PV_Central,Region20Guangxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region20Guangxi_PV_Central,elec_Region20Guangxi,10886,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region21Hainan_PV_Central,Region21Hainan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region21Hainan_PV_Central,elec_Region21Hainan,4725,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region22Chongqing_PV_Central,Region22Chongqing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region22Chongqing_PV_Central,elec_Region22Chongqing,1072,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region23Sichuan_PV_Central,Region23Sichuan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region23Sichuan_PV_Central,elec_Region23Sichuan,8893,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region24Guizhou_PV_Central,Region24Guizhou,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region24Guizhou_PV_Central,elec_Region24Guizhou,18760,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region25Yunnan_PV_Central,Region25Yunnan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region25Yunnan_PV_Central,elec_Region25Yunnan,34331,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region26Tibet_PV_Central,Region26Tibet,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region26Tibet_PV_Central,elec_Region26Tibet,3984,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region27Shaanxi_PV_Central,Region27Shaanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region27Shaanxi_PV_Central,elec_Region27Shaanxi,25239,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region28Gansu_PV_Central,Region28Gansu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region28Gansu_PV_Central,elec_Region28Gansu,29549,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region29Qinghai_PV_Central,Region29Qinghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region29Qinghai_PV_Central,elec_Region29Qinghai,36043,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region30Ningxia_PV_Central,Region30Ningxia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region30Ningxia_PV_Central,elec_Region30Ningxia,24493,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region31Xinjiang_PV_Central,Region31Xinjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region31Xinjiang_PV_Central,elec_Region31Xinjiang,56479,200,system/TDR_results/vre_availability_1.csv,work in progress
