Type,id,location,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--max_capacity,storage--min_storage_level,storage--can_retire,storage--can_expand,storage--constraints--MaxCapacityConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--constraints--StorageMinDurationConstraint,storage--max_duration,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--min_duration,storage--existing_capacity,edges--discharge_edge--can_retire,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity,Note
Battery,Region11Zhejiang_pumpedhydro,Region11Zhejiang,Electricity,TRUE,Electricity,TRUE,Electricity,41418,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,61440,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region11Zhejiang,720000,1,TRUE,0.88,1,7680,FALSE,FALSE,elec_Region11Zhejiang,0,0,1,FALSE,0.88,1,7680,WIP
Battery,Region12Anhui_pumpedhydro,Region12Anhui,Electricity,TRUE,Electricity,TRUE,Electricity,31676,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,37440,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region12Anhui,720000,1,TRUE,0.88,1,4680,FALSE,FALSE,elec_Region12Anhui,0,0,1,FALSE,0.88,1,4680,WIP
Battery,Region13Fujian_pumpedhydro,Region13Fujian,Electricity,TRUE,Electricity,TRUE,Electricity,14571,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,30400,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region13Fujian,720000,1,TRUE,0.88,1,3800,FALSE,FALSE,elec_Region13Fujian,0,0,1,FALSE,0.88,1,3800,WIP
Battery,Region14Jiangxi_pumpedhydro,Region14Jiangxi,Electricity,TRUE,Electricity,TRUE,Electricity,11509,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region14Jiangxi,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region14Jiangxi,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region15Shandong_pumpedhydro,Region15Shandong,Electricity,TRUE,Electricity,TRUE,Electricity,22948,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,32000,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region15Shandong,720000,1,TRUE,0.88,1,4000,FALSE,FALSE,elec_Region15Shandong,0,0,1,FALSE,0.88,1,4000,WIP
Battery,Region16Henan_pumpedhydro,Region16Henan,Electricity,TRUE,Electricity,TRUE,Electricity,17304,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,22160,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region16Henan,720000,1,TRUE,0.88,1,2770,FALSE,FALSE,elec_Region16Henan,0,0,1,FALSE,0.88,1,2770,WIP
Battery,Region17Hubei_pumpedhydro,Region17Hubei,Electricity,TRUE,Electricity,TRUE,Electricity,20806,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region17Hubei,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region17Hubei,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region18Hunan_pumpedhydro,Region18Hunan,Electricity,TRUE,Electricity,TRUE,Electricity,21102,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region18Hunan,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region18Hunan,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region19Guangdong_pumpedhydro,Region19Guangdong,Electricity,TRUE,Electricity,TRUE,Electricity,37275,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,87040,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region19Guangdong,720000,1,TRUE,0.88,1,10880,FALSE,FALSE,elec_Region19Guangdong,0,0,1,FALSE,0.88,1,10880,WIP
Battery,Region20Guangxi_pumpedhydro,Region20Guangxi,Electricity,TRUE,Electricity,TRUE,Electricity,24869,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region20Guangxi,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region20Guangxi,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region21Hainan_pumpedhydro,Region21Hainan,Electricity,TRUE,Electricity,TRUE,Electricity,2755,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,4800,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region21Hainan,720000,1,TRUE,0.88,1,600,FALSE,FALSE,elec_Region21Hainan,0,0,1,FALSE,0.88,1,600,WIP
Battery,Region22Chongqing_pumpedhydro,Region22Chongqing,Electricity,TRUE,Electricity,TRUE,Electricity,7077,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region22Chongqing,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region22Chongqing,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region23Sichuan_pumpedhydro,Region23Sichuan,Electricity,TRUE,Electricity,TRUE,Electricity,18275,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region23Sichuan,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region23Sichuan,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region24Guizhou_pumpedhydro,Region24Guizhou,Electricity,TRUE,Electricity,TRUE,Electricity,7805,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region24Guizhou,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region24Guizhou,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region25Yunnan_pumpedhydro,Region25Yunnan,Electricity,TRUE,Electricity,TRUE,Electricity,18267,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region25Yunnan,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region25Yunnan,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region26Tibet_pumpedhydro,Region26Tibet,Electricity,TRUE,Electricity,TRUE,Electricity,18631,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,904,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region26Tibet,720000,1,TRUE,0.88,1,113,FALSE,FALSE,elec_Region26Tibet,0,0,1,FALSE,0.88,1,113,WIP
Battery,Region27Shaanxi_pumpedhydro,Region27Shaanxi,Electricity,TRUE,Electricity,TRUE,Electricity,6574,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,11200,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region27Shaanxi,720000,1,TRUE,0.88,1,1400,FALSE,FALSE,elec_Region27Shaanxi,0,0,1,FALSE,0.88,1,1400,WIP
Battery,Region28Gansu_pumpedhydro,Region28Gansu,Electricity,TRUE,Electricity,TRUE,Electricity,3709,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region28Gansu,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region28Gansu,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region29Qinghai_pumpedhydro,Region29Qinghai,Electricity,TRUE,Electricity,TRUE,Electricity,8077,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region29Qinghai,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region29Qinghai,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region30Ningxia_pumpedhydro,Region30Ningxia,Electricity,TRUE,Electricity,TRUE,Electricity,509,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region30Ningxia,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region30Ningxia,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region31Xinjiang_pumpedhydro,Region31Xinjiang,Electricity,TRUE,Electricity,TRUE,Electricity,13089,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region31Xinjiang,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region31Xinjiang,0,0,1,FALSE,0.88,1,1200,WIP
