Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,25599.06368,20195.64172,89897.38372,57617.9603,79457.60925,51173.03705,17632.2869,20570.56268,32488.22811,170297.7741,135989.828,66396.3693,45788.93594,32767.60776,149678.1034,59347.70407,50259.94988,41901.03189,145958.1298,40683.73706,7547.042451,26064.9965,71285.75775,31298.18093,36453.77425,2625.470671,45428.99817,29911.98311,18017.55722,25000.83274,67368.7106
2,24289.45995,19328.21938,87811.87482,56437.23976,78692.02071,49344.04842,17085.52438,19553.71043,31635.82043,168878.7343,127613.2313,65727.91691,42269.04063,30655.61188,145631.3193,58691.01406,45751.22184,36470.37821,136231.4476,37731.02094,6608.732612,24109.68222,67635.33242,29272.44066,34395.05665,2426.995078,43813.59187,28347.93609,17791.94944,25521.10094,66613.79626
3,23769.26854,19076.5749,83768.44788,54680.24589,78542.38436,48939.26976,16413.1291,19174.39407,29632.14696,161034.6924,121355.5655,64420.81729,40751.78565,30343.95359,142917.2776,59307.66268,43584.09413,35696.37847,125829.7422,33993.65694,5889.501325,22778.54861,65211.65799,28629.07973,33380.93394,2326.830297,42371.98103,28242.4122,17437.35222,25338.84278,65549.31583
4,23582.6227,18864.10469,81142.71412,54713.51026,78505.07551,49073.14069,16568.47759,18807.54411,28311.36771,156094.739,116368.9865,63343.70368,38844.99105,30047.10093,140614.2595,58268.68722,41495.6094,33849.32057,114945.3308,31813.1319,5301.568056,21829.98992,62736.62185,27658.10888,32561.44655,2229.503352,42386.70101,28146.556,17506.35713,25521.05402,65243.74791
5,23052.47221,18616.69623,79804.21425,54386.71054,79320.01288,49066.14779,16713.32539,19154.73431,28286.69121,154050.8459,112198.4497,63338.70246,38323.51804,31555.23809,137394.56,57937.22657,41283.74777,33189.76475,109537.3791,30727.0675,4883.955963,21157.04574,61522.1093,27667.52852,31987.13809,2135.982127,41668.48272,27779.17562,17463.75954,25694.55736,65240.33369
6,23556.44162,18737.82256,79709.97877,54386.86582,80371.49516,49777.36932,17176.18259,20544.99319,30017.34653,153873.4845,109385.6273,63340.38792,38154.67998,34782.43674,141144.1275,57578.02442,42319.5735,31095.54037,102874.5274,29819.92787,4650.680451,20464.25431,61490.56557,28630.35652,33183.61301,2119.544222,42406.01398,28714.83975,18068.53989,25954.89784,65027.23903
7,24629.95746,19105.99161,82789.2918,54500.97234,81963.91961,51477.68659,19085.85814,24866.12012,32774.04141,156603.7796,112195.8369,66346.91146,39887.83857,37608.53347,148393.2479,60043.12878,42231.76201,33157.2474,98750.42261,31969.10384,4946.809251,22371.22239,65696.62195,34697.16747,36416.43292,2136.769026,45369.1121,30202.47499,18454.17932,26041.49674,65203.1957
8,25910.09881,20229.68032,98585.79818,55767.4274,83249.53561,50743.57444,20085.33603,26142.58259,33922.49955,149171.1032,104075.7181,71890.62626,44333.4931,39577.03978,152088.2465,62555.30236,47963.13537,46297.44142,93932.61633,36546.07925,5381.343033,24659.78593,66414.31445,40009.25966,41642.33174,2347.400845,50184.23808,31348.97653,18789.17564,25555.89902,65123.784
9,27445.42681,20730.16164,95856.15701,57619.0903,82945.66006,49151.37658,20498.98816,25328.28956,35944.19508,121023.4186,98208.81737,67774.79582,49083.56282,42751.90847,152361.3227,75376.27049,51809.45826,44531.83098,89347.416,38615.77648,5806.093237,26612.38647,72085.90298,46181.99875,46869.19414,2624.742186,51550.47317,31091.46856,17785.68492,24837,65639.34149
10,28593.48852,21536.84625,96640.7177,60849.18885,83671.90936,50382.43073,20543.33428,25411.62881,39649.8265,119595.9046,102463.5743,63302.29994,52737.1987,45495.36353,152361.3227,78439.05797,53784.29412,45257.55451,94147.29662,42331.22392,6897.02159,28702.80731,79700.49137,48081.74099,49993.38231,2920.92012,52479.3675,31744.22785,16978.14683,24076.72903,65766.15914
