Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,25443.79272,20073.14519,89352.11171,57268.47893,78975.65963,50862.64732,17525.33837,20445.79206,32291.17097,169264.8341,135164.9826,65993.64255,45511.20344,32568.85605,148770.2319,58987.73095,49955.09848,41646.88144,145072.8217,40436.97011,7501.265913,25906.89943,70853.37444,31108.34202,36232.66411,2609.545895,45153.44887,29730.55216,17908.27184,24849.19035,66960.08612
2,24142.13238,19210.98419,87279.25245,56094.92004,78214.71476,49044.75241,16981.89224,19435.10752,31443.93356,167854.4014,126839.194,65329.24465,42012.65803,30469.67047,144747.9934,58335.02409,45473.7181,36249.16736,135405.1367,37502.16367,6568.647387,23963.4451,67225.09075,29094.88885,34186.43365,2412.274155,43547.84081,28175.99186,17684.03249,25366.30287,66209.7507
3,23625.0962,18960.86606,83260.35089,54348.5832,78065.98603,48642.42893,16313.57537,19058.0919,29452.41337,160057.9375,120619.4841,64030.07324,40504.60595,30159.90253,142050.4137,58947.93243,43319.73508,35479.86231,125066.5227,33787.46863,5853.778593,22640.38547,64816.11709,28455.43023,33178.4621,2312.716923,42114.97405,28071.10803,17331.58607,25185.15019,65151.72688
4,23439.58245,18749.68458,80650.5435,54381.64581,78028.90348,48775.48786,16467.9816,18693.46707,28139.64529,155147.9474,115663.1511,62959.49285,38609.377,29864.85043,139761.3646,57915.25887,41243.91805,33644.00774,114248.1306,31620.16956,5269.411429,21697.58026,62356.09327,27490.3488,32363.9453,2215.980313,42129.60474,27975.83324,17400.17243,25366.25623,64848.01237
5,22912.64758,18503.77678,79320.1623,54056.82829,78838.89785,48768.53738,16611.95082,19038.5514,28115.11847,153116.4515,111517.9107,62954.52196,38091.06699,31363.83999,136561.1942,57585.8087,41033.34146,32988.45245,108872.9808,30540.69267,4854.332359,21028.71781,61148.94734,27499.7113,31793.12031,2123.026341,41415.7428,27610.68121,17357.83321,25538.70719,64844.61886
6,23413.56017,18624.16842,79226.4984,54056.98263,79884.00237,49475.44501,17072.00056,20420.37767,29835.2765,152940.1659,108722.1494,62956.1972,37923.25301,34571.46409,140288.0187,57228.78528,42062.88439,30906.93056,102250.5426,29639.05529,4622.471779,20340.12851,61117.59493,28456.69927,32982.33802,2106.68814,42148.80057,28540.67007,17958.94527,25797.46857,64632.81673
7,24480.56461,18990.10434,82287.13388,54170.39704,81466.76798,51165.44901,18970.09299,24715.29482,32575.25067,155653.9004,111515.3137,65944.48469,39645.89914,37380.41915,147493.1696,59678.93757,41975.60552,32956.13233,98151.45255,31775.19544,4916.804411,22235.52988,65298.13951,34486.71202,36195.54928,2123.808467,45093.92604,30019.28207,18342.24561,25883.5422,64807.70613
8,25752.94127,20106.97733,97987.82664,55429.17043,82744.58608,50435.78961,19963.50856,25984.01492,33716.74285,148266.3068,103444.4475,71454.57412,44064.58858,39336.9855,151165.7562,62175.87357,47672.21528,46016.62458,93362.86864,36324.40924,5348.702531,24510.21215,66011.47884,39766.58375,41389.75044,2333.1627,49879.8459,31158.82951,18675.21001,25400.88988,64728.77611
9,27278.95675,20604.42297,95274.7421,57269.60207,82442.55369,48853.24922,20374.65168,25174.66098,35726.1758,120289.3518,97613.13242,67363.70823,48785.84678,42492.59705,151437.1761,74919.0762,51495.20832,44261.72344,88805.47981,38381.55274,5770.876416,26450.96921,71648.6664,45901.88213,46584.90934,2608.821829,51237.7941,30902.88346,17677.80596,24686.35133,65241.20648
10,28420.0549,21406.21464,96054.54404,60480.10849,83164.39793,50076.83642,20418.72882,25257.49474,39409.33073,118870.4965,101842.0822,62918.34024,52417.32156,45219.41169,151437.176,77963.28637,53458.06582,44983.0451,93576.24679,42074.46415,6855.187749,28528.71062,79217.06855,47790.1015,49690.14777,2903.203298,52161.05423,31551.68344,16875.16599,23930.69178,65367.25492
