Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,25561.87823,20166.30534,89766.7979,57534.26389,79342.18835,51098.70259,17606.67406,20540.68168,32441.03539,170050.3979,135792.2879,66299.92129,45722.42249,32720.00922,149460.6796,59261.49501,50186.94179,41840.16604,145746.1096,40624.63947,7536.079543,26027.13423,71182.20736,31252.71689,36400.82114,2621.656887,45363.00756,29868.53267,17991.38474,24964.51629,67270.85015
2,24254.17684,19300.14302,87684.31843,56355.25848,78577.71191,49272.37078,17060.70578,19525.30651,31589.86593,168633.4194,127427.859,65632.4399,42207.64021,30611.08124,145419.7738,58605.75892,45684.76317,36417.40098,136033.5565,37676.21249,6599.132703,24074.66026,67537.08468,29229.91922,34345.09406,2423.469601,43749.94782,28306.7576,17766.10469,25484.02874,66517.03241
3,23734.74107,19048.86408,83646.76501,54600.81683,78428.29293,48868.1801,16389.28723,19146.54116,29589.10302,160800.7719,121179.2832,64327.23898,40692.58921,30299.87566,142709.6745,59221.51179,43520.78345,35644.52556,125646.9606,33944.27742,5880.946178,22745.46027,65116.9309,28587.49285,33332.44447,2323.45032,42310.43108,28201.38699,17412.02255,25302.03532,65454.09826
4,23548.36635,18836.70251,81024.84542,54634.03288,78391.03827,49001.85656,16544.41006,18780.22409,28270.24234,155867.9943,116199.9478,63251.69,38788.56444,30003.45422,140410.0019,58184.04555,41435.33248,33800.15072,114778.3601,31766.91984,5293.866947,21798.27947,62645.49002,27617.93244,32514.14747,2226.264753,42325.12967,28105.67004,17480.92722,25483.98189,65148.9742
5,23018.98596,18589.65344,79688.28987,54307.70787,79204.79185,48994.87382,16689.04745,19126.90996,28245.60169,153827.0701,112035.4691,63246.69604,38267.84892,31509.40064,137194.9793,57853.06639,41223.77859,33141.55298,109378.2641,30682.43306,4876.861481,21126.31281,61432.74169,27627.3384,31940.67326,2132.879378,41607.95467,27738.82332,17438.39151,25657.2332,65145.56494
6,23522.2233,18710.60382,79594.19127,54307.86293,80254.74675,49705.06223,17151.2323,20515.14933,29973.74304,153649.9664,109226.7326,63248.37905,38099.25612,34731.91144,140939.1001,57494.38602,42258.09967,31050.37068,102725.0908,29776.61115,4643.924827,20434.52773,61401.24377,28588.76778,33135.41017,2116.465351,42344.41459,28673.12829,18042.29335,25917.1955,64932.77983
7,24594.17975,19078.23806,82669.03126,54421.80369,81844.85802,51402.9096,19058.13384,24829.99935,32726.43352,156376.2954,112032.8601,66250.53529,39829.89711,37553.90294,148177.6904,59955.90955,42170.41574,33109.08286,98606.97678,31922.6652,4939.623468,22338.72573,65601.19039,34646.76602,36363.53406,2133.665134,45303.20848,30158.60258,18427.3726,26003.6686,65108.4809
8,25872.46155,20200.29449,98442.59148,55686.41909,83128.60652,50669.86383,20056.15988,26104.60762,33873.2234,148954.4158,103924.5367,71786.19723,44269.09384,39519.54979,151867.3216,62464.43391,47893.46365,46230.1893,93796.16889,36492.99206,5373.526041,24623.96488,66317.84036,39951.14182,41581.84168,2343.990987,50111.33997,31303.4387,18761.8823,25518.77628,65029.18456
9,27405.55931,20700.0488,95716.91542,57535.39225,82825.17238,49079.97881,20469.21113,25291.49744,35891.98219,120847.6188,98066.15828,67676.34549,49012.26356,42689.80663,152140.0011,75266.77818,51734.19934,44467.1436,89217.62907,38559.68283,5797.65925,26573.72906,71981.19029,46114.91433,46801.11149,2620.92946,51475.59045,31046.30479,17759.84926,24800.92153,65543.99314
10,28551.95334,21505.56161,96500.33645,60760.79873,83550.36672,50309.24472,20513.49283,25374.71563,39592.23077,119422.1785,102314.7347,63210.3464,52660.59213,45429.27652,152140.0011,78325.11663,53706.16653,45191.81295,94010.53734,42269.73317,6887.002909,28661.11333,79584.71766,48011.89698,49920.76143,2916.677163,52403.13545,31698.11588,16953.48421,24041.75493,65670.62657
11,29249.59459,22069.42888,97382.91516,58833.79793,84055.88682,51546.40893,20639.83812,26480.05248,43528.41706,124415.0793,109797.0781,61836.1241,54744.44432,47235.56447,150646.4997,76779.24604,55628.90661,45187.21358,106400.8465,44779.26883,7894.706881,31119.85033,85539.87829,46064.94872,51166.7915,3091.196338,52692.84412,31014.30782,16310.70308,23664.714,66277.07662
12,29589.29135,22243.13067,101844.6687,57534.26356,85578.82738,51221.5609,21094.36775,27755.75258,44528.09875,125283.3776,108961.2075,62018.58935,56803.347,44951.06625,148399.7123,78109.01345,56922.44394,50369.34905,117461.4306,47254.53832,7824.076313,32529.58184,93826.6197,44080.37413,49260.22493,3140.843916,53115.34497,31303.57183,16329.55346,23750.49262,66103.19504
13,29258.83545,21781.01359,93633.86904,57534.75188,84337.27633,50378.11373,20268.28824,26113.50461,43861.25759,120339.4661,103930.9693,55774.17559,52631.54078,43006.02489,137869.5402,84301.09053,55391.28808,46845.46086,122849.4914,47293.86723,7508.70332,32566.85321,88346.56667,41862.08942,44016.20729,3088.942574,52496.76071,30891.14038,17015.58435,24098.66224,66141.4175
14,28918.05853,21147.33339,81512.57593,54877.8886,83502.27598,49985.11834,20389.40336,25010.34629,43802.62642,125540.6457,99673.84405,54250.93093,49882.68471,41733.54684,139377.8875,81584.31169,56944.11505,41840.08888,125369.486,45181.96572,7587.775476,30887.51387,85700.68156,41351.84598,43394.98044,2851.963652,52146.01065,30690.3113,17367.67008,23752.50175,65373.38855
15,28414.51285,20972.66763,84942.55656,53749.18042,83789.23425,49594.60766,19701.47885,25172.70858,43074.65564,125992.8318,94707.72979,55104.04823,50490.22574,38029.47366,145414.7418,77139.47584,57009.28299,40835.01172,130930.0273,45596.30684,7824.617059,30586.20376,87044.78009,41563.52341,43360.61698,2823.892607,52843.91979,30521.17971,17498.09539,23752.32061,64991.19707
