Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,24670.54878,19463.11672,86636.67616,55528.07392,76575.56735,49316.91731,16992.73846,19824.43875,31309.8333,164120.8286,131057.2811,63988.07738,44128.1053,31579.07945,144249.0631,57195.07739,48436.94913,40381.22112,140664.0183,39208.07934,7273.300354,25119.58155,68700.12067,30162.95084,35131.54337,2530.241069,43781.22299,28827.03241,17364.03447,24094.01654,64925.15046
2,23408.44626,18627.15704,84626.81168,54390.17981,75837.74781,47554.26874,16465.80781,18844.46919,30488.34367,162753.2594,122984.5156,63343.87072,40735.88166,29543.6887,140349.0616,56562.20647,44091.75915,35147.54507,131290.1369,36362.46248,6369.024364,23235.18933,65182.10153,28210.68708,33147.49842,2338.964472,42224.40981,27319.71563,17146.60982,24595.41386,64197.61795
3,22907.12295,18384.64006,80730.04565,52696.91463,75693.53899,47164.17198,15817.80127,18478.91119,28557.34633,155193.7323,116953.8244,62084.18149,39273.6597,29243.3347,137733.4621,57156.48836,42003.23628,34401.61942,121265.7162,32760.65805,5675.880632,21952.33785,62846.33726,27590.66179,32170.1594,2242.432812,40835.08827,27218.01924,16804.87435,24419.76646,63171.74776
4,22727.24702,18179.87645,78199.55104,52728.97246,75657.58338,47293.18721,15967.51505,18125.36741,27284.47364,150432.9581,112148.1158,61046.13634,37436.02729,28957.24931,135513.9778,56155.19803,39990.5039,32621.55698,110776.0981,30659.2238,5109.272549,21038.18476,60461.07424,26654.90945,31380.39599,2148.636055,40849.27433,27125.63989,16871.37635,24595.36864,62877.26323
5,22216.32585,17941.44185,76909.60049,52414.02623,76442.9618,47286.44796,16107.10901,18459.96452,27260.69219,148463.1999,108128.8504,61041.31652,36933.46886,30410.68417,132411.0615,55835.75994,39786.32679,31985.92419,105564.3007,29612.55252,4706.807848,20389.64923,59290.61381,26663.98742,30826.91854,2058.50698,40157.10685,26771.58492,16830.32383,24762.57877,62873.97284
6,22702.01556,18058.17476,76818.78306,52414.17588,77456.30531,47971.87246,16553.17771,19799.79671,28928.57415,148292.2717,105418.053,61042.94084,36770.7548,33520.82768,136024.6267,55489.58657,40784.58163,29967.66034,99143.12014,28738.31615,4481.993575,19721.98634,59260.21421,27591.89226,31979.99558,2042.665301,40867.88679,27673.31116,17413.16793,25013.47632,62668.60744
7,23736.59344,18412.98978,79786.40498,52524.1436,78990.97022,49610.51678,18393.58658,23964.19013,31585.27974,150923.535,108126.3323,63940.41345,38441.04923,36244.4178,143010.8111,57865.27804,40699.95519,31954.58629,95168.60259,30809.53841,4767.381357,21559.78594,63313.71087,33438.65124,35095.55646,2059.265336,43723.50908,29106.98774,17784.81966,25096.93415,62838.1819
8,24970.30222,19495.92069,95009.94932,53744.66251,80229.95508,48903.03193,19356.81197,25194.35347,32692.08165,143760.4525,100300.742,69283.04973,42725.45347,38141.52356,146571.7868,60286.33146,46223.44339,44618.16655,90525.54508,35220.50033,5186.153972,23765.33999,64005.37163,38558.0662,40131.9044,2262.257236,48363.9835,30211.90401,18107.66518,24628.94977,62761.65059
9,26449.94166,19978.24882,92379.31617,55529.16293,79937.10153,47368.58538,19755.46034,24409.59602,34640.44737,116633.7249,94646.64215,65316.50639,47303.23132,41201.23519,146834.9581,72642.26462,49930.25461,42916.59735,86106.65656,37215.12667,5595.497875,25647.1169,69471.24348,44506.91116,45169.18098,2529.539008,49680.66328,29963.73623,17140.57252,23936.12625,63258.50806
10,27556.36152,20755.67382,93135.41972,58642.10116,80637.00872,48554.98742,19798.19797,24489.91244,38211.6702,115257.989,98747.07293,61006.23437,50824.34457,43845.18118,146834.9581,75593.96039,51833.46032,43615.99784,90732.43861,40795.80948,6646.856686,27661.71516,76809.63979,46337.74701,48180.05035,2814.974141,50575.86527,30592.819,16362.325,23203.4314,63380.72585
