Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region8Heilongjiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region8Heilongjiang,15060,200,Region8Heilongjiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region9Shanghai_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region9Shanghai,401,200,Region9Shanghai_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region10Jiangsu_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region10Jiangsu,11405,200,Region10Jiangsu_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region11Zhejiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region11Zhejiang,2067,200,Region11Zhejiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region12Anhui_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region12Anhui,8990,200,Region12Anhui_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region13Fujian_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region13Fujian,4560,200,Region13Fujian_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region14Jiangxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region14Jiangxi,6570,200,Region14Jiangxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region15Shandong_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region15Shandong,21837,200,Region15Shandong_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region16Henan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region16Henan,23340,200,Region16Henan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region17Hubei_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region17Hubei,9520,200,Region17Hubei_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region18Hunan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region18Hunan,11210,200,Region18Hunan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region19Guangdong_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region19Guangdong,7144,200,Region19Guangdong_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region20Guangxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region20Guangxi,18020,200,Region20Guangxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region21Hainan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region21Hainan,413,200,Region21Hainan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region22Chongqing_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region22Chongqing,2410,200,Region22Chongqing_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region23Sichuan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region23Sichuan,8900,200,Region23Sichuan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region24Guizhou_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region24Guizhou,7480,200,Region24Guizhou_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region25Yunnan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region25Yunnan,16710,200,Region25Yunnan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region26Tibet_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region26Tibet,530,200,Region26Tibet_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region27Shaanxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region27Shaanxi,14950,200,Region27Shaanxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region28Gansu_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region28Gansu,32150,200,Region28Gansu_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region29Qinghai_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region29Qinghai,12670,200,Region29Qinghai_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region30Ningxia_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region30Ningxia,15090,200,Region30Ningxia_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region31Xinjiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region31Xinjiang,47080,200,Region31Xinjiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region1Beijing_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region1Beijing,1222,200,Region1Beijing_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region2Tianjin_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region2Tianjin,3729,200,Region2Tianjin_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region3Hebei_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region3Hebei,29083,200,Region3Hebei_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region4Shanxi_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region4Shanxi,9759,200,Region4Shanxi_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region5Innermongolia_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region5Innermongolia,3081,200,Region5Innermongolia_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region6Liaoning_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region6Liaoning,6718,200,Region6Liaoning_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region7Jilin_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region7Jilin,2010,200,Region7Jilin_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region8Heilongjiang_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region8Heilongjiang,2459,200,Region8Heilongjiang_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region9Shanghai_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region9Shanghai,3716,200,Region9Shanghai_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
