Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region11Zhejiang_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region11Zhejiang,8339,200,Region11Zhejiang_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region12Anhui_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region12Anhui,14419,200,Region12Anhui_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region13Fujian_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region13Fujian,765,200,Region13Fujian_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region14Jiangxi_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region14Jiangxi,13745,200,Region14Jiangxi_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region15Shandong_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region15Shandong,25929,200,Region15Shandong_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region16Henan_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region16Henan,6300,200,Region16Henan_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region17Hubei_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region17Hubei,21478,200,Region17Hubei_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region18Hunan_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region18Hunan,4861,200,Region18Hunan_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region19Guangdong_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region19Guangdong,13733,200,Region19Guangdong_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region20Guangxi_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region20Guangxi,10886,200,Region20Guangxi_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region21Hainan_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region21Hainan,4725,200,Region21Hainan_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region22Chongqing_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region22Chongqing,1072,200,Region22Chongqing_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region23Sichuan_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region23Sichuan,8893,200,Region23Sichuan_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region24Guizhou_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region24Guizhou,18760,200,Region24Guizhou_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region25Yunnan_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region25Yunnan,34331,200,Region25Yunnan_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region26Tibet_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region26Tibet,3984,200,Region26Tibet_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region27Shaanxi_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region27Shaanxi,25239,200,Region27Shaanxi_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region28Gansu_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region28Gansu,29549,200,Region28Gansu_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region29Qinghai_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region29Qinghai,36043,200,Region29Qinghai_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region30Ningxia_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region30Ningxia,24493,200,Region30Ningxia_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region31Xinjiang_PV_Central,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,541666.6666666666,9236.111111111111,0,0.08,elec_Region31Xinjiang,56479,200,Region31Xinjiang_PV_Central,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region1Beijing_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region1Beijing,240,200,Region1Beijing_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region2Tianjin_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region2Tianjin,2073,200,Region2Tianjin_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region3Hebei_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region3Hebei,37790,200,Region3Hebei_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region4Shanxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region4Shanxi,26160,200,Region4Shanxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region5Innermongolia_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region5Innermongolia,85990,200,Region5Innermongolia_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region6Liaoning_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region6Liaoning,16497,200,Region6Liaoning_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region7Jilin_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region7Jilin,15730,200,Region7Jilin_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
