PROVINCE,YEAR,VALUE
China,2025,15.254946827449157
China,2030,25.594936548983142
China,2035,38.75602612885973
China,2040,48.08089267646619
China,2045,49.14981526204418
China,2050,49.65448066675642
China,2055,51.52865421772834
China,2060,49.97213104007234
