Province,Region,Period,Year,WeightSource,ScrapMid_Mton_per_year,Weight_ScrapShareInput,WeightShare,MaxSupply_ton_per_h,ImpliedTotal_288h_tons
Guizhou,Region24Guizhou,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.08119526,0.04540587155905155,97.51003368793653,28082.88970212572
Hainan,Region21Hainan,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.183679462,0.007713801908091687,16.5655466593537,4770.877437893865
Hebei,Region3Hebei,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.184679495,0.04975179505375564,106.8429928807287,30770.781949649867
Heilongjiang,Region8Heilongjiang,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.24072257,0.01010938403002691,21.710108042969644,6252.511116375257
Henan,Region16Henan,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.175605239,0.0493707126372179,106.02461063194512,30535.087862000197
Hubei,Region17Hubei,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.98158572,0.04122266973915436,88.52652260498942,25495.638510236953
Hunan,Region18Hunan,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.103137521,0.04632735865906083,99.48894599772551,28652.816447344947
InnerMongolia,Region5Innermongolia,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.360645336,0.015145660002973918,32.525613239145336,9367.376612873857
Jiangsu,Region10Jiangsu,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.525384735,0.06406005086957917,137.5702635774727,39620.23591031214
Jiangxi,Region14Jiangxi,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.001981322,0.042079203354351245,90.3659459836174,26025.39244328181
Jilin,Region7Jilin,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.223045524,0.009367018881090311,20.115863770234668,5793.368765827585
Liaoning,Region6Liaoning,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.543993633,0.022845554307128414,49.061293035869376,14129.65239433038
Ningxia,Region30Ningxia,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.197772756,0.008305663823216946,17.836582173062844,5136.935665842099
Qinghai,Region29Qinghai,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.122457143,0.005142709658703468,11.044073703447848,3180.6932265929804
Shaanxi,Region27Shaanxi,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.680239034,0.028567315590393258,61.34889189320844,17668.48086524403
Shandong,Region15Shandong,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.595272753,0.06699506777746377,143.87327214741697,41435.50237845609
Shanxi,Region4Shanxi,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.561042515,0.023561539083381895,50.59888492113315,14572.478857286347
Sichuan,Region23Sichuan,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.450296251,0.06090663521358757,130.79823924912324,37669.892903747495
Tibet,Region26Tibet,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.0,0.0,0.0,0.0
Xinjiang,Region31Xinjiang,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,0.402716599,0.0169124845857094,36.319905005115565,10460.132641473283
Yunnan,Region25Yunnan,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.311815695,0.05509100637041077,118.30905789562364,34073.00867393961
Zhejiang,Region11Zhejiang,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,1.32423125,0.05561240996559888,119.42878273265671,34395.48942700513
TOTAL,,2,2030,aluminum_scrap_share_weights.csv,18.81227836350261,23.811794001,1.0,2147.520361130435,618485.8640055653
Beijing,Region1Beijing,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.02864176,0.0012028392316344228,3.9113804209109952,1126.4775612223666
Tianjin,Region2Tianjin,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.055062619,0.0023124095142805115,7.5194698189176155,2165.607307848273
Anhui,Region12Anhui,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.417408174,0.059525467671208414,193.56431239640318,55746.52197016412
Shanghai,Region9Shanghai,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.039821138,0.001672328342766936,5.438060353539546,1566.1613818193894
Chongqing,Region22Chongqing,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.651578201,0.02736367536913163,88.98092219485845,25626.505592119232
Fujian,Region13Fujian,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.970585629,0.04076070996411439,132.54526349247334,38173.03588583232
Gansu,Region28Gansu,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.471244322,0.01979037455053616,64.35413935932277,18533.992135484958
Guangdong,Region19Guangdong,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.714234545,0.07199098669037743,234.09956078684652,67420.6735066118
Guangxi,Region20Guangxi,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.2117178,0.05088729559600225,165.4747920026334,47656.74009675842
Guizhou,Region24Guizhou,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.08119526,0.04540587155905155,147.6503528814491,42523.30162985734
Hainan,Region21Hainan,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.183679462,0.007713801908091687,25.083662854177437,7224.094902003102
Hebei,Region3Hebei,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.184679495,0.04975179505375564,161.78238284929856,46593.32626059798
Heilongjiang,Region8Heilongjiang,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.24072257,0.01010938403002691,32.873592515591795,9467.594644490437
Henan,Region16Henan,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.175605239,0.0493707126372179,160.5431829100234,46236.43667808674
Hubei,Region17Hubei,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.98158572,0.04122266973915436,134.04745960631686,38605.668366619255
Hunan,Region18Hunan,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.103137521,0.04632735865906083,150.64683529265284,43386.28856428402
InnerMongolia,Region5Innermongolia,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.360645336,0.015145660002973918,49.25050367446928,14184.145058247152
