,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
0,24670.54878160572,19463.1167173068,86636.67616243867,55528.07391855924,76575.56735254395,49316.91730616889,16992.73846121443,19824.43874729318,31309.83329509255,164120.8286488254,131057.2811380702,63988.07738450811,44128.1053036051,31579.07944693493,144249.06310734,57195.07738519824,48436.94912913692,40381.22112431595,140664.0183044044,39208.07933524347,7273.300354233312,25119.58154804943,68700.12066715233,30162.9508445851,35131.54336765632,2530.24106920507,43781.22299005598,28827.03240930643,17364.03447457729,24094.01654151185,64925.15046148195
1,23408.4462593297,18627.15703535815,84626.811678429,54390.17981014624,75837.74781059359,47554.26873647317,16465.80780888883,18844.46919241342,30488.3436711204,162753.2594351082,122984.5156020915,63343.87072271937,40735.88166259245,29543.68869967039,140349.0616348988,56562.20646627386,44091.75914848667,35147.54507432324,131290.1368776358,36362.46247675268,6369.024364472008,23235.18933396524,65182.10152632165,28210.68708344023,33147.49842058416,2338.964471843319,42224.40980618619,27319.71562798385,17146.60981954603,24595.41386277205,64197.61795144093
2,22907.12294714243,18384.64005905471,80730.04565288153,52696.91463291308,75693.53898762057,47164.17197597686,15817.80127377287,18478.91118579066,28557.34632569806,155193.7322633803,116953.8243783318,62084.1814886955,39273.65970476314,29243.33469759571,137733.4621079391,57156.48835869179,42003.23627750349,34401.61941879773,121265.716224476,32760.65805018178,5675.880631853689,21952.3378518936,62846.33725522614,27590.66178893307,32170.15940150225,2242.432811598685,40835.08826673279,27218.01923893921,16804.87434896235,24419.7664618395,63171.74776274906
3,22727.24701612015,18179.87644879271,78199.55103715585,52728.97245743309,75657.58338117001,47293.18721212343,15967.51505491784,18125.36740509024,27284.4736388838,150432.9580534913,112148.1157854946,61046.13634144567,37436.02729048975,28957.24931363914,135513.9778432701,56155.19803056268,39990.50390128024,32621.55697679782,110776.0981480927,30659.22380189306,5109.272548868571,21038.18475600864,60461.07424258038,26654.90944697048,31380.3959934341,2148.636054679283,40849.27432995448,27125.63988591904,16871.37634500587,24595.36864368242,62877.26322740616
4,22216.32584603293,17941.44185224424,76909.60048614441,52414.02623395813,76442.9617969951,47286.44795840389,16107.10900785095,18459.9645196669,27260.69219328295,148463.1999026079,108128.8503828541,61041.31651550278,36933.46885923747,30410.68416690332,132411.0614745898,55835.75994126391,39786.32678842149,31985.92419374043,105564.3006514527,29612.55251849975,4706.807847918157,20389.64922627116,59290.61381332254,26663.98741993079,30826.91853640112,2058.506979549165,40157.1068485817,26771.58492203043,16830.32383192602,24762.5787674304,62873.97284395557
5,22702.01556262201,18058.17475823985,76818.78305906178,52414.17588447881,77456.30530613805,47971.87246328373,16553.17771197938,19799.79670643074,28928.57414696019,148292.2716603905,105418.0530478959,61042.94084426494,36770.75479765936,33520.82767831151,136024.6267476742,55489.58656702113,40784.58162973422,29967.66034217067,99143.1201411451,28738.31614700501,4481.993574690389,19721.98633915381,59260.21421362426,27591.89226209158,31979.99558306197,2042.665301080995,40867.88678859574,27673.31116068079,17413.1679268263,25013.47632382803,62668.60743735966
6,23736.59344025552,18412.9897823898,79786.40497511347,52524.14359519336,78990.9702239347,49610.51677560445,18393.58658232057,23964.19013456791,31585.27973843255,150923.5350034932,108126.3323147411,63940.41344741829,38441.04923145654,36244.41780347459,143010.8111143305,57865.27804340008,40699.95518951023,31954.58629266053,95168.60258537978,30809.53840831489,4767.381356767394,21559.7859402216,63313.71087258932,33438.65124200056,35095.55646384551,2059.265336417808,43723.50907633313,29106.98773572869,17784.81966381567,25096.93415181299,62838.18190063546
7,24970.30221891838,19495.92069004303,95009.94931930336,53744.66251210629,80229.95507646627,48903.03192643134,19356.81197489758,25194.35347334752,32692.08165012705,143760.452463966,100300.7419505545,69283.04972835789,42725.45347138196,38141.52356064912,146571.7868108397,60286.33146419043,46223.44338650508,44618.16655378569,90525.54507652958,35220.50033497711,5186.153972313404,23765.33998507925,64005.3716292708,38558.06620253028,40131.90440371486,2262.257236002825,48363.98350382638,30211.90400952505,18107.66518017838,24628.9497686205,62761.65058536946
8,26449.94165989345,19978.24882453409,92379.31616676353,55529.16292698469,79937.10153433777,47368.58538086071,19755.46034048865,24409.596023485,34640.44736883683,116633.7249237371,94646.64215266412,65316.50638841248,47303.23131921916,41201.23519499972,146834.9581265907,72642.26462498699,49930.25461056897,42916.59734582339,86106.65656428273,37215.12666764396,5595.497875450257,25647.11689576905,69471.2434815756,44506.91115980369,45169.18098324372,2529.539007563906,49680.66327995665,29963.73622714579,17140.57251523072,23936.12624508915,63258.50805856621
9,27556.36151956045,20755.67382177195,93135.41971550135,58642.10115592306,80637.00872439818,48554.98742134545,19798.19796771028,24489.91244119523,38211.67019612877,115257.9889792518,98747.07293001965,61006.2343691514,50824.34456909854,43845.18118486374,146834.9581078518,75593.96039416276,51833.4603240652,43615.9978426754,90732.43860815924,40795.80947642375,6646.85668557557,27661.71516164166,76809.63978948789,46337.74700968526,48180.05034661559,2814.974141394884,50575.86526999462,30592.81900125167,16362.32499653573,23203.43139601432,63380.72584793928
