,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Inner_Mongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
0,20676.52096632775,16312.14386181504,72610.66897957424,46538.38042925612,64178.39902506886,41332.77632785938,14241.70642408207,16614.96981817074,26240.94138760672,137550.5581415629,109839.8193420668,53628.75529636564,36984.00479824771,26466.59805025149,120895.9234800584,47935.50509129855,40595.27021791552,33843.72081116278,117891.2779535514,32860.50430418675,6095.792541949124,21052.85776743143,57577.94437157907,25279.73297494622,29443.93736236621,2120.608786631016,36693.28084668752,24160.0924764366,14552.89163009318,20193.32616366683,54414.12133319566
1,19618.74598553964,15611.52151069396,70926.19063614607,45584.70519493768,63560.02845846526,39855.49098531545,13800.08298160987,15793.65201015579,25552.44647069003,136404.3909536887,103073.9906878877,53088.84219321432,34140.96373512525,24760.72600690793,117627.3110577127,47405.09253582774,36953.54288817816,29457.34847965931,110034.9770024773,30475.5773551523,5337.913922095031,19473.53841510527,54629.47341662557,23643.53011028962,27781.09851312015,1960.298831196751,35388.50725928603,22896.8020929186,14370.66684546649,20613.54998265325,53804.37238392364
2,19198.58419395932,15408.26671528514,67660.28985941992,44165.5704505692,63439.16626046041,39528.54877098935,13256.98518397869,15487.27585876754,23934.06710458865,130068.7101609576,98019.63560915164,52033.08980242147,32915.46756817234,24508.99768597783,115435.1628838942,47903.16341853342,35203.14052328483,28832.18413522874,101633.4555914543,27456.88549702339,4756.986394011543,18398.37361838555,52671.85669106191,23123.88354243178,26961.98537144879,1879.395122299494,34224.10932903418,22811.56979675464,14084.25649095789,20466.33894165805,52944.58500533751
3,19047.82919892278,15236.65322106568,65539.4685740725,44192.43828746617,63409.03167135121,39636.67714132982,13382.46111733532,15190.96889539681,22867.26559038788,126078.6794308703,93991.94512859182,51163.09852492267,31375.33785810862,24269.22797141241,113575.0010634534,47063.97655462471,33516.2585838115,27340.30413169895,92842.04969265955,25695.66203666415,4282.109081340347,17632.21694222795,50672.7548012836,22339.62442079011,26300.0803684464,1800.783550737553,34235.99874569165,22734.14615910125,14139.99217514023,20613.51208428856,52697.77591636351
4,18619.62339049238,15036.81989030863,64458.35400910586,43928.48014650252,64067.2615885315,39631.02893617383,13499.45556768764,15471.396554954,22847.33423162774,124427.8144231287,90623.37695839794,51159.05900261433,30954.14090652965,25487.35961828988,110974.4299970483,46796.25375651029,33345.13663625207,26807.57684289335,88474.0138955849,24818.44114759861,3944.801228925949,17088.67579133052,49691.78555653575,22347.23271924781,25836.20790472298,1725.245883209335,33655.88941908092,22437.41077032329,14105.58584089407,20753.65179743653,52695.01822811727
5,19026.68258066619,15134.654373021,64382.23943006649,43928.60556941693,64916.55028893158,40205.48693755196,13873.30817206144,16594.31718984635,24245.19515842965,124284.5585346914,88351.44298449626,51160.42036137469,30817.76936751286,28093.98779227954,114002.9786845356,46506.12397083435,34181.7794421685,25116.05894388018,83092.38762430626,24085.73889501577,3756.383165141754,16529.10389829611,49666.30748687084,23124.91480867095,26802.60804207423,1711.968886419009,34251.5979483984,23193.15242991877,14594.07064335989,20963.93040255309,52522.90036512085
6,19893.76792066226,15432.02677243332,66869.41948068321,44020.77010520965,66202.76129420799,41578.84363828797,15415.76484503977,20084.51794667408,26471.79454824117,126489.8346379193,90621.26655183206,53588.80789173758,32217.65220701005,30376.64347315379,119858.1377574259,48497.20390406631,34110.85356285034,26781.3123777428,79761.32286768875,25821.64152494954,3995.568215781916,18069.37372852053,53063.56505896508,28025.1152745515,29413.77654276936,1725.881466221017,36644.91050204285,24394.72455647856,14905.55398327498,21033.87686160478,52665.0216440723
7,20927.745950668,16339.63704958577,79628.35470344381,45043.69364042367,67241.16123038744,40985.89674250616,16223.04927965953,21115.52452425167,27399.41124356923,120486.416245277,84062.59675200828,58066.50038476694,35808.43467720348,31966.61811501529,122842.6108350719,50526.30192935608,38740.11902927482,37394.72779447462,75869.95114428447,29518.49267997149,4346.543820018046,19917.86055605594,53643.24969685906,32315.7247662077,33634.76711311581,1896.01008009659,40534.11733092827,25320.76088843973,15176.13256452387,20641.65660754184,52600.88033296138
8,22167.83980487269,16743.87887954011,77423.60676635044,46539.29313313394,66995.71908568744,39699.86875617875,16557.15864067552,20457.81504201824,29032.34713768334,97751.35851718955,79323.86499327431,54742.11886175119,39645.09516205533,34530.97905885197,123063.1761445846,60881.87663988858,41846.81765487335,35968.63339683713,72166.45667481972,31190.19984597201,4689.617169158872,21494.98800839861,58224.22659177535,37301.48404433962,37856.53598140612,2120.02038495533,41637.63380468405,25112.77012175854,14365.60694791979,20060.99744843379,53017.29928062131
9,23095.13630032087,17395.44299339237,78057.30125837766,49148.26357506905,67582.3151041983,40694.19875190495,16592.97727823894,20525.12866805173,32025.40839130998,96598.34674788953,82760.45830497968,51129.65646515966,42596.15930661251,36746.88455723397,123063.1761288794,63355.70890028353,43441.90470326849,36554.80475301723,76043.3497371738,34191.1895614787,5570.766699845338,23183.43376012425,64374.5764061622,38835.91751686154,40379.96195258066,2359.245121357755,42387.90745607194,25640.00781247639,13713.35347436564,19446.9219147711,53119.73067389111
10,23659.44514289215,17851.54458875618,78771.2025199171,47589.54898781978,67991.22077425376,41694.91753629974,16695.17559237186,21419.21478765937,35209.31520694184,100637.0100302125,88812.78469388335,50018.07397450879,44281.74801933021,38207.95679804325,121855.1109877871,62105.28334763442,44997.1728737021,36551.08441056679,86065.63703345222,36221.10560116456,6385.879427874631,25172.25972490866,69191.59346529163,37261.06780490529,41387.85215829226,2500.41038876842,42622.24733086921,25086.88837675912,13193.41994660075,19141.94062122649,53610.2766704392
11,23934.21943918582,17992.04868569106,82380.23078291939,46538.38016405667,69223.09864885858,41432.15409700242,17062.83603372486,22451.10452930788,36017.93886230707,101339.3601487957,88136.66472520125,50165.66667257923,45947.15554961848,36360.06929544829,120037.7270361754,63180.90711174124,46043.49081500721,40742.81601413734,95012.33481230325,38223.30438683262,6328.747694310932,26312.5649366808,75894.58222712851,35655.78287015111,39845.66643628327,2540.569378302695,42964.00029736494,25320.86857535504,13208.66766629115,19211.32532447375,53469.62714404583
12,23666.91990274976,17618.25090011958,75738.66985462543,46538.77515000237,68218.83143336787,40749.90559341582,16394.63590819632,21122.72113373162,35478.54363501594,97340.32339051653,84067.79993533086,45114.67821002608,42572.66021458936,34786.76203624917,111520.0695923267,68189.56142647669,44804.96773286592,37892.409345834,99370.63547597958,38255.11679530067,6073.648431587994,26342.7130475668,71461.87074043068,33861.45422309293,35603.87952078235,2498.587361682175,42463.63916005282,24987.26055530128,13763.58510819203,19492.95316026499,53500.54456850678
13,23391.27187979473,17105.67894131104,65933.98458413631,44389.68857693136,67543.41540619748,40432.01903684955,16492.60364252507,20230.39718388418,35431.11798612896,101547.4594402138,80624.291673237,43882.55435215707,40349.16241020139,33757.47855518098,112740.143234026,65992.01028090501,46061.02016475524,33843.6583997643,101409.0115729889,36546.83951713977,6137.608405982804,24984.32713963311,69321.66419637942,33448.72793396514,35101.38084214974,2306.899583130866,42179.92405593584,24824.81370201227,14048.38061334058,19212.95047230444,52879.30044972403
14,22983.96328360037,16964.39510394497,68708.43119613269,43476.69783267588,67775.53053481258,40116.14231568638,15936.15449158484,20361.728980558,34842.27616081596,101913.224265176,76607.29555468616,44572.62483799038,40840.59088272744,30761.32365374733,117623.240738459,62396.66643365229,46113.73327967043,33030.67045143635,105906.8285007894,36881.99223047469,6329.185093630673,24740.60308252778,70408.88013812937,33619.94980869885,35073.58489146597,2284.193444555015,42744.44959109364,24688.00635118755,14153.87918764748,19212.803954794,52570.15297147151
15,22715.94868023006,16931.19291212753,72063.38561616818,42982.18808878654,68100.05627195317,40216.59782382845,16393.75206253285,20822.67459435366,34032.3771675871,103442.4478521407,75860.8526089152,46689.84110692454,40801.15069016247,30363.32219610364,123109.4411765117,62168.54218413536,47792.28477466293,32217.45477731923,103727.9656337209,38222.60782976731,6387.530579160848,23808.49092705483,71379.67367523917,34120.0085026909,36609.92860867048,2236.611655295706,43905.04802257702,24291.98739715371,14083.57726814278,19633.4656904345,52769.05475914848
16,23391.93137231589,17358.89164025483,75818.8451345398,43929.56741216986,68361.60441376624,41205.6440926176,17183.53151906753,22086.47622801222,34147.40527414536,107316.6010194937,80672.9147741758,50016.96509275497,42029.90245651148,33672.24114261731,124269.5386078417,59555.68925220599,48499.78020731331,34383.57364088812,105907.4220231271,38566.83518742702,6443.05094754677,25054.06980863642,72366.952891104,36716.36945545002,39626.70093356713,2284.733263752546,44978.14806844115,25962.32470788284,14059.84673347523,20396.27795101592,52030.07453221169
17,24180.35734392937,17890.33817976088,82172.92041157016,47008.9604971324,69895.7322504115,42818.63861866362,17940.59493204434,24685.3244550198,35997.87483259758,113198.377991359,85423.28838144473,52564.90235514055,45104.40213502502,39192.17541550105,129694.3012902083,61789.70142125227,51268.2079653425,40370.36422641956,106905.2407193402,41897.20451548534,6858.326959988381,26581.95240123804,74337.51729215705,39097.34813113283,41886.24504998963,2360.861499912928,46371.30111317691,26397.87497998317,14363.94512762981,21384.52499144779,51999.21520704381
