,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Inner_Mongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
0,25599.06368202623,20195.64172275448,89897.38371506958,57617.96030420284,79457.6092529659,51173.03704501012,17632.28689606523,20570.56267555618,32488.2281091492,170297.7741322358,135989.828015018,66396.36930483519,45788.93594277891,32767.60776333397,149678.1034441617,59347.70406784654,50259.94988179334,41901.03188503395,145958.1298422087,40683.73705984127,7547.042451092329,26064.99650278617,71285.75774660388,31298.180934024,36453.77425033372,2625.470670913992,45428.99816785056,29911.9831075618,18017.55721879292,25000.83274441903,67368.71060070663
1,24289.4599465358,19328.21938354143,87811.87482048158,56437.23976156192,78692.02071225563,49344.04842444421,17085.52437998566,19553.71042537363,31635.82043130029,168878.7343005144,127613.2312528224,65727.91691224751,42269.04063040938,30655.61188443076,145631.3192831439,58691.01405663257,45751.22184295446,36470.3782063954,136231.4476465323,37731.02093585029,6608.732612387546,24109.68222432057,67635.33242295406,29272.44065608897,34395.05665155979,2426.995078008025,43813.59187155385,28347.93608876045,17791.94944494649,25521.10094236472,66613.79626052907
2,23769.26854311089,19076.57489945144,83768.44787748944,54680.24588654655,78542.38436344654,48939.26975889857,16413.12909986238,19174.39406829333,29632.14696408718,161034.6924355294,121355.5654809623,64420.81729290775,40751.78564969981,30343.95358714984,142917.2775546825,59307.66268264222,43584.09412930063,35696.37846577788,125829.7421576382,33993.65693547027,5889.501325350939,22778.5486093027,65211.65799028164,28629.07973456824,33380.93394152664,2326.830296923927,42371.98103110933,28242.41219618589,17437.35222251253,25338.84277527411,65549.31583399735
3,23582.62269855082,18864.10468870499,81142.71411743281,54713.51025770667,78505.07551120325,49073.14068634749,16568.47759460136,18807.54411142158,28311.3677119789,156094.7390014346,116368.986487753,63343.70368410635,38844.99104964559,30047.10092986879,140614.2595093409,58268.68721837995,41495.6094048655,33849.32057443846,114945.3308089259,31813.1319045215,5301.568056112053,21829.9899240525,62736.62185307877,27658.10888164721,32561.44654561007,2229.503351552629,42386.70100912944,28146.55600093858,17506.35712575851,25521.05402138354,65243.74791005899
4,23052.47220675026,18616.69623115201,79804.21424885155,54386.71053782527,79320.01287879783,49066.14779021604,16713.32538547923,19154.73431459439,28286.69121427404,154050.8459048915,112198.4497109678,63338.7024564344,38323.51804150729,31555.23808951429,137394.5600034641,57937.22657424054,41283.74776527441,33189.76475199152,109537.3791174019,30727.06750137734,4883.955963223428,21157.04573976324,61522.10930489405,27667.52851839595,31987.13809408032,2135.982126942567,41668.48271608925,27779.17562169546,17463.75953678952,25694.55736109423,65240.33368785277
5,23556.44161962118,18737.82256363949,79709.97876508076,54386.86582067863,80371.4951644963,49777.36932423893,17176.18258677736,20544.99319273369,30017.34652819718,153873.4845094756,109385.6272552954,63340.38791936396,38154.67998033677,34782.4367430011,141144.1274883113,57578.02442066419,42319.57349740034,31095.5403664364,102874.5273806092,29819.92786921303,4650.680451278717,20464.25430991933,61490.56556845459,28630.35651851912,33183.61300872681,2119.544221992547,42406.01397692171,28714.83974539649,18068.53988578482,25954.89784158959,65027.23903122099
6,24629.95746266162,19105.99160920716,82789.29179883967,54500.97233912168,81963.91960989573,51477.68659219383,19085.85813918976,24866.12011648412,32774.04141255271,156603.7795864335,112195.8368714015,66346.91146051648,39887.83857186305,37608.53346565575,148393.2478901142,60043.12878178062,42231.76200801457,33157.24739972234,98750.42260628699,31969.1038375415,4946.809251336399,22371.22238910588,65696.62194872831,34697.16746727853,36416.43292280481,2136.769025764557,45369.11210022357,30202.47499295306,18454.17932035711,26041.49673617696,65203.1956960958
7,25910.09881134587,20229.68032459233,98585.79817504289,55767.4274048666,83249.53560578592,50743.57443812799,20085.33603418933,26142.58258707954,33922.49955475589,149171.1031708328,104075.7181072973,71890.62625974495,44333.49310303297,39577.03978139926,152088.2465069691,62555.30235542276,47963.13536956767,46297.44141878274,93932.61632639646,36546.07925301378,5381.343032832332,24659.78592890675,66414.31444569657,40009.25966066461,41642.33173757636,2347.400844716503,50184.23808042813,31348.97652831045,18789.17563543656,25555.8990247685,65123.78400442624
8,27445.4268095702,20730.16163693652,95856.15700686075,57619.09029917296,82945.66006005649,49151.37658373672,20498.98815793578,25328.28955647806,35944.19508129871,121023.418580004,98208.81737184855,67774.79582339541,49083.56281920919,42751.90847482603,152361.3226890529,75376.27049172638,51809.45826339853,44531.83097778277,89347.41599582566,38615.7764844696,5806.093237499951,26612.38647292187,72085.90298081948,46181.99875308747,46869.1941428214,2624.742186078897,51550.47317055007,31091.46856117148,17785.68491718898,24836.99999839141,65639.34148998723
9,28593.48852061701,21536.84624652775,96640.71770170744,60849.1888537792,83671.90935789228,50382.43073075672,20543.33428296729,25411.6288088748,39649.82649581814,119595.9046497589,102463.5743098672,63302.29993833473,52737.19870356757,45495.36352990087,152361.3226696088,78439.05797302618,53784.29411691274,45257.55451221444,94147.29662145076,42331.22392175699,6897.021589816298,28702.80731269759,79700.49137417768,48081.74098936067,49993.38230959154,2920.920120048281,52479.36749528212,31744.22785477946,16978.14682925208,24076.72902643217,65766.15913806364
