time_index,BR_AC_Wind_Onshore_Class1,BR_AC_Wind_Onshore_Class3,BR_AL_Wind_Onshore_Class1,BR_AM_Wind_Onshore_Class3,BR_AP_Wind_Onshore_Class1,BR_AP_Wind_Onshore_Class3,BR_BA_Wind_Onshore_Class0,BR_BA_Wind_Onshore_Class1,BR_BA_Wind_Onshore_Class3,BR_CE_Wind_Onshore_Class0,BR_CE_Wind_Onshore_Class1,BR_CE_Wind_Onshore_Class3,BR_ES_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class0,BR_GO_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class2,BR_GO_Wind_Onshore_Class3,BR_MA_Wind_Onshore_Class0,BR_MA_Wind_Onshore_Class1,BR_MA_Wind_Onshore_Class3,BR_MG_Wind_Onshore_Class0,BR_MG_Wind_Onshore_Class1,BR_MG_Wind_Onshore_Class3,BR_MS_Wind_Onshore_Class0,BR_MS_Wind_Onshore_Class1,BR_MS_Wind_Onshore_Class2,BR_MS_Wind_Onshore_Class3,BR_MT_Wind_Onshore_Class0,BR_MT_Wind_Onshore_Class1,BR_MT_Wind_Onshore_Class2,BR_MT_Wind_Onshore_Class3,BR_PA_Wind_Onshore_Class0,BR_PA_Wind_Onshore_Class1,BR_PA_Wind_Onshore_Class2,BR_PA_Wind_Onshore_Class3,BR_PB_Wind_Onshore_Class0,BR_PB_Wind_Onshore_Class1,BR_PB_Wind_Onshore_Class3,BR_PE_Wind_Onshore_Class0,BR_PE_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class0,BR_PI_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class3,BR_PR_Wind_Onshore_Class0,BR_PR_Wind_Onshore_Class1,BR_PR_Wind_Onshore_Class3,BR_RJ_Wind_Onshore_Class0,BR_RJ_Wind_Onshore_Class1,BR_RN_Wind_Onshore_Class0,BR_RN_Wind_Onshore_Class1,BR_RO_Wind_Onshore_Class0,BR_RO_Wind_Onshore_Class2,BR_RO_Wind_Onshore_Class3,BR_RR_Wind_Onshore_Class2,BR_RS_Wind_Onshore_Class0,BR_RS_Wind_Onshore_Class1,BR_SC_Wind_Onshore_Class1,BR_SE_Wind_Onshore_Class1,BR_SP_Wind_Onshore_Class0,BR_SP_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class0,BR_TO_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class2,BR_TO_Wind_Onshore_Class3
11,0.052623188,0.061072464,0.150044928,0.041304348,0,0,0.21101114,0.115689592,0.078513043,0.064981643,0.113755314,0.055022222,0.003144928,0.067528824,0.055424904,0.027760386,0.012183333,0.093817754,0.052449123,0.05175942,0.118001065,0.082248889,0.064572693,0.083127122,0.058804033,0.122352899,0.018246377,0.058273356,0.025685903,0.030138387,0.019621643,0.036627536,0.041548654,0.041837281,0.046494525,0.061771014,0.337671014,0.029756522,0.350289441,0.193197826,0.172732516,0.02880223,0.026226087,0.015929908,0.066077847,0,0.056202899,0.005275362,0.114997101,0.371495652,0.043606957,0.033947826,0.029653773,0.161628986,0.441704875,0.474622609,0.090217391,0.153886957,0.032904535,0.018364876,0.08611278,0.015174106,0.043964803,0.026737391
12,0.036750725,0.049286957,0.192944928,0.024301449,0,0,0.188264501,0.105035837,0.071921739,0.064769726,0.14285628,0.063024155,0.016524638,0.035466023,0.028101982,0,0.002268478,0.055280797,0.072047902,0.067961978,0.099610884,0.082003092,0.073965828,0.044436025,0.031978828,0.052497826,0.001927536,0.04182029,0.027254282,0.008869119,0.011532135,0.029181159,0.055408696,0.023215792,0.04319533,0.076592754,0.383280193,0.043710145,0.347003727,0.216867391,0.159631364,0.029967001,0.036230145,0.013342029,0.067621946,0,0.090446377,0.034086957,0.171594203,0.453638164,0.030456812,0.020995169,0.012116942,0.151474948,0.545719104,0.544480386,0.165162319,0.151709179,0.023986349,0.015453026,0.050116996,0.000825121,0.049783023,0.018790145
13,0.031246377,0.01817971,0.211150725,0.0312,0.028275362,0.053907246,0.159464222,0.096706456,0.052538164,0.058633816,0.155911594,0.080353623,0.011875362,0.033088889,0.046366164,0,0.007535145,0.031281159,0.065778185,0.056219778,0.087879326,0.098883671,0.09980595,0.0361853,0.026510901,0.027534783,0.005837681,0.028979487,0.018572332,0.003934597,0.005349565,0.052750725,0.091275362,0.028924338,0.032979388,0.081375362,0.363022222,0.056202899,0.303016149,0.216497826,0.131304199,0.03109699,0.025798841,0.009958893,0.098576398,0,0.08693913,0.071124638,0.163478261,0.436033333,0.005721739,0.005039614,0.002457771,0.134702277,0.62719473,0.59858087,0.242115942,0.169761353,0.025148574,0.037540324,0.065382872,0,0.036357764,0.007468986
14,0.011002899,0.017807246,0.195210145,0.008115942,0.06595942,0.090446377,0.116609464,0.0773278,0.039491304,0.044743317,0.136041304,0.067634783,0.014162319,0.025775845,0.043502277,0,0.009444928,0.008941667,0.060368879,0.029697698,0.066191896,0.080893913,0.086747521,0.034226501,0.034933081,0.014142029,0.014156522,0.02930903,0.019597189,0.004429134,0.004895923,0.053442029,0.106255901,0.013446277,0.038471981,0.080588406,0.303017874,0.07342029,0.233511387,0.197577536,0.104776514,0.031468004,0.020881159,0.00737971,0.165542857,0,0.086237681,0.139107246,0.134875362,0.372954106,0.006264348,0,0.001133433,0.163195859,0.630368731,0.626486184,0.44217971,0.161735266,0.031131931,0.070856266,0.063293808,0,0.013451553,0.010030145
15,0.007913043,0.012546377,0.189926087,0,0.079765217,0.086237681,0.063106269,0.05552332,0.022351691,0.035158776,0.116403865,0.047257971,0.013397101,0.014193559,0.02911257,0,0.012173551,0.001115942,0.045208238,0.015130264,0.036871813,0.046171981,0.050080854,0.036637474,0.042909011,0.011473913,0.017994203,0.026217614,0.019025384,0.004904348,0.003477101,0.030457971,0.086454658,0.006563118,0.028851691,0.063821739,0.241710145,0.064811594,0.170940373,0.184444203,0.064814716,0.023606689,0.01146087,0.022706456,0.175954451,0.016266667,0.105176812,0.160434783,0.108684058,0.298544928,0.005982609,0.010278261,0.001533233,0.175960248,0.573942205,0.600869952,0.38333913,0.157229952,0.037278728,0.098988576,0.039981028,0.000931401,0.004204969,0.021315942
16,0.016411594,0.007172464,0.206491304,0,0.080881159,0.101669565,0.035687655,0.050637945,0.016301932,0.027341063,0.101753865,0.028722705,0.022771014,0.006281804,0.011656078,0,0.007197101,0.000291667,0.035733333,0.011197613,0.016114049,0.016298937,0.016019832,0.038600207,0.041291493,0.018976812,0.010046377,0.01775942,0.010694422,0.004046823,0.001550145,0.018137681,0.067840994,0.004232884,0.013720451,0.043028986,0.204745894,0.043228986,0.131313872,0.183791304,0.039839614,0.012356745,0.005311304,0.057295916,0.243378054,0.02697971,0.117101449,0.117947826,0.084133333,0.244312077,0.003002899,0.002975845,0.002104148,0.19028323,0.499107071,0.542631884,0.452,0.174219324,0.055047966,0.115761637,0.0247083,0.003632077,0.002327329,0.019702609
17,0.038194203,0.013631884,0.235247826,0,0.034327536,0.071698551,0.022228322,0.0622361,0.015105314,0.026819324,0.090088406,0.024757488,0.031249275,0.002977778,0.000679089,0,0.002421014,0,0.027391304,0.006556522,0.009735463,0.003645797,0.001719298,0.047063768,0.040785759,0.01412971,0.002536232,0.015969677,0.00477892,0.00253482,0.000725179,0.011769565,0.062982195,0.001594803,0.005924155,0.030765217,0.1832343,0.036011594,0.112032298,0.187830435,0.02423337,0.005022965,0.002667246,0.114855336,0.17224265,0.061368116,0.104475362,0.085536232,0.07915942,0.230336232,0.001663768,0,0.000827586,0.193191718,0.43022152,0.431564831,0.39715942,0.215610628,0.077210472,0.148100597,0.013607378,0.003785121,0.00145528,0.013937971
18,0.033695652,0.012437681,0.257162319,0,0.014307246,0.036973913,0.018533752,0.087106192,0.017034783,0.023873108,0.07211256,0.028595169,0.052223188,0.006575523,2.90E-05,0,0.001588043,0,0.022211137,0.004984314,0.010290565,0.001296039,0.00028833,0.056546998,0.040637429,0.002380435,0.010428986,0.012474025,0.004813702,0.002044147,0.000885565,0.008882609,0.092068737,0.000907146,0.00321401,0.023671014,0.16976087,0.028892754,0.099686542,0.187925362,0.013578001,0.002828094,0,0.140057444,0.14106501,0.115698551,0.091849275,0.050927536,0.054481159,0.230543961,0.004018551,0,0.000844778,0.185812008,0.410913131,0.366965411,0.351623188,0.247639614,0.102795512,0.145977494,0.005586825,0.002753623,0.000942029,0.008838261
19,0.030026087,0.023318841,0.278562319,0,0.02713913,0.013205797,0.024514336,0.115542292,0.024669565,0.027623188,0.070603623,0.028825121,0.150910145,0.017903382,0,0,0.001111232,0.000921014,0.035774523,0.004921569,0.015734398,0.000439614,0.000480549,0.063605176,0.043996723,0.002375362,0.008133333,0.00739621,0.00297321,0.002626979,0.000611942,0.005118841,0.084742857,0.000566717,0.004540258,0.027278261,0.197274396,0.025831884,0.114135404,0.217301449,0.012420661,0.003150056,0.000243478,0.162018972,0.108111387,0.093953623,0.091849275,0.024301449,0.041304348,0.257078744,0,0.011354589,0.000426787,0.175660455,0.424038823,0.331707053,0.172011594,0.298808696,0.096833848,0.121102131,0.002321476,0.001722126,0.001464803,0.004515942
20,0.047904348,0.032234783,0.300753623,0,0.059933333,0.011675362,0.032802584,0.160778656,0.030549758,0.035244444,0.084405797,0.034297585,0.263005797,0.01943124,0,0,0.011530797,0.007630072,0.038616629,0.006183461,0.018799408,0.000317874,0.001554539,0.046375155,0.034008318,0.000887681,0.025223188,0.007115942,0.004664207,0.000218506,0.001608271,0.002028986,0.079134576,0.00051994,0.007094203,0.030557971,0.225063768,0.028892754,0.138682816,0.258891304,0.0183945,0.011661984,0.003113623,0.163823715,0.104997101,0,0.168550725,0.013588406,0.038898551,0.28136715,0.001582609,0.020313043,0.001107446,0.176763561,0.448217128,0.323313623,0.055652174,0.32062029,0.101266573,0.084679625,0.000147563,0.00103343,0.000398551,0.00206029
