Time_Index,h2_BR_AC,h2_BR_AL,h2_BR_AP,h2_BR_AM,h2_BR_BA,h2_BR_CE,h2_BR_DF,h2_BR_ES,h2_BR_GO,h2_BR_MA,h2_BR_MT,h2_BR_MS,h2_BR_MG,h2_BR_PA,h2_BR_PB,h2_BR_PR,h2_BR_PE,h2_BR_PI,h2_BR_RJ,h2_BR_RN,h2_BR_RS,h2_BR_RO,h2_BR_RR,h2_BR_SC,h2_BR_SP,h2_BR_SE,h2_BR_TO
25,101.74,293.28,812.72,50.96,2146.33,1119.83,306.75,1313.95,1486.77,766.12,7129.67,965.71,1072.51,1635.07,397.34,998.01,277.19,3321.73,3832.5,311.85,314.15,61.64,3043.63,2752.33,244.49,12071.56,272.24
26,79.66,230.56,725.02,35.69,1828.44,938.24,227.68,1153.73,1263.79,648.66,6341.52,868.51,956.66,1432.13,316.46,806.21,217.27,2816.01,3193.26,241.26,268,46.76,2554.75,2381.7,198.31,10404.04,232.1
27,68.11,197.7,675.24,27.89,1655.65,840.57,186.88,1064.44,1142.79,585.06,5895.91,812.75,890.92,1319.32,273.92,704.79,185.93,2542.06,2850.45,204.46,242.89,39.04,2291.49,2177.83,173.85,9490.02,210.27
28,60.85,176.87,627.17,23.78,1519,767.53,163.59,984.63,1047.82,535.83,5472.01,756.4,827.46,1219.61,246.17,636.33,166.17,2329.01,2598.47,181.88,222.93,34.47,2093.43,2006.78,157.16,8734.88,192.96
29,59.76,174.19,663.09,21.11,1570.45,786.45,154,1033.45,1082.06,552.16,5777.78,802.64,874.82,1278.57,244.6,638.1,163.32,2401.75,2654.27,177.06,230.64,33.05,2147.19,2091.37,158,9084.93,199.58
30,58.59,170.91,665.07,19.98,1564.57,781.36,148.85,1034.26,1077.64,549.55,5792.67,805.89,877.43,1279.13,240.68,629.72,160.13,2390.88,2634.6,173.06,229.84,32.14,2133.98,2088.58,156.05,9067.37,198.85
31,61.75,179.87,673.77,22.35,1603.73,804.74,160.73,1051.79,1105.27,564.28,5872.56,814.9,888.91,1301.62,252.06,656.17,168.72,2454.06,2717.91,183.33,235.49,34.34,2196.64,2131.87,162.38,9265.03,203.78
32,64.05,186.21,664.78,24.81,1606.59,811.06,171.51,1042.95,1108.11,566.53,5799.43,802.06,877.09,1291.7,259.38,671.05,174.92,2462.71,2745.1,191.27,235.8,36.2,2212.42,2124.12,165.79,9243.92,204.09
33,94.48,273.39,854.32,42.59,2159.28,1108.93,270.84,1360.52,1492.64,766.25,7473.55,1023.03,1127.27,1689.01,375.01,954.65,257.69,3326.39,3775.25,286.33,316.47,55.55,3019.24,2810.5,234.78,12279.72,274.08
34,99.69,288.78,931.53,43.51,2328.58,1190.97,281.54,1477.95,1608.81,825.07,8143.33,1117.59,1229.13,1833.74,397.52,1015.72,271.98,3582.9,4048.85,301.13,341.4,58.1,3244.03,3042.46,250.05,13280.15,295.63
