ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
5671,煤源,Y5671,,CSP5671,1,07 Pre-permit,2025,,660,3883,318.82,2.287783455,70.9212871,26.891839,105.912424,26.891839,105.912424,,,超临界,常规煤电,339.9214962,CCS057,陆地埋存,20
5672,煤源,Y5672,,CSP5672,1,07 Pre-permit,2025,,660,3883,313.24,2.24774258,69.68001998,26.891839,105.912424,26.891839,105.912424,,,超临界,常规煤电,339.9214962,CCS057,陆地埋存,20
5673,煤源,Y5673,,CSP5673,1,07 Pre-permit,2025,,1000,3851,287.15,3.09628102,95.98471162,29.66523,113.87296,29.66523,113.87296,,,超超临界,常规煤电,149.966677,CCS016,陆地埋存,52800
5674,煤源,Y5674,,CSP5674,1,07 Pre-permit,2025,,1000,4577,275.86,3.535311416,109.5946539,32.7465,116.8127,32.7465,116.8127,,,超超临界,常规煤电,217.0871063,CCS007,陆地埋存,178000
5675,煤源,Y5675,,CSP5675,1,07 Pre-permit,2025,,1000,4577,275.86,3.535311416,109.5946539,32.7465,116.8127,32.7465,116.8127,,,超超临界,常规煤电,217.0871063,CCS007,陆地埋存,178000
5676,煤源,Y5676,,CSP5676,1,07 Pre-permit,2025,,1000,4262,280,3.341408,103.583648,34.316129,120.274268,34.316129,120.274268,,,超超临界,常规煤电,177.3037598,CCS025,海洋埋存,1900
5677,煤源,Y5677,,CSP5677,1,07 Pre-permit,2025,,1000,4262,280,3.341408,103.583648,34.316129,120.274268,34.316129,120.274268,,,超超临界,常规煤电,177.3037598,CCS025,海洋埋存,1900
5678,煤源,Y5678,,CSP5678,1,07 Pre-permit,2025,,1000,4403,290,3.575236,110.832316,39.03241,112.3045,39.03241,112.3045,,,超超临界,常规煤电,196.2797805,CCS071,陆地埋存,0.3
5679,煤源,Y5679,,CSP5679,1,07 Pre-permit,2025,,1000,4403,290,3.575236,110.832316,39.03241,112.3045,39.03241,112.3045,,,超超临界,常规煤电,196.2797805,CCS071,陆地埋存,0.3
5680,煤源,Y5680,,CSP5680,1,07 Pre-permit,2025,,1000,4403,285,3.513594,108.921414,39.103058,112.353606,39.103058,112.353606,,,超超临界,常规煤电,198.9678332,CCS071,陆地埋存,0.3
5681,煤源,Y5681,,CSP5681,1,07 Pre-permit,2025,,1000,4403,285,3.513594,108.921414,39.103058,112.353606,39.103058,112.353606,,,超超临界,常规煤电,198.9678332,CCS071,陆地埋存,0.3
5682,煤源,Y5682,,CSP5682,1,07 Pre-permit,2026,,1000,4403,317,3.9081028,125.0592896,37.7749827,113.6259455,37.7749827,113.6259455,,,超超临界,常规煤电,239.19816,CCS077,陆地埋存,51.39
5683,煤源,Y5683,,CSP5683,1,07 Pre-permit,2026,,1000,4403,317,3.9081028,125.0592896,37.7749827,113.6259455,37.7749827,113.6259455,,,超超临界,常规煤电,239.19816,CCS077,陆地埋存,51.39
5684,煤源,Y5684,,CSP5684,1,07 Pre-permit,2024,,600,3740,299.7,1.88307504,56.4922512,22.954384,116.180992,22.954384,116.180992,,,超超临界,热电联产,223.2345813,CCS063,海洋埋存,12
5685,煤源,Y5685,,CSP5685,1,07 Pre-permit,2024,,600,3740,299.7,1.88307504,56.4922512,22.954384,116.180992,22.954384,116.180992,,,超超临界,热电联产,223.2345813,CCS063,海洋埋存,12
